session_id,phase_idx,class_id_target,class_name_target,condition,take,frame,class_id_pred,class_name_pred,confidence
20260317_022534,0,10,Ring,air,1,0,22,Inferior Pincer,0.5965
20260317_022534,0,10,Ring,air,1,1,22,Inferior Pincer,0.5638
20260317_022534,0,10,Ring,air,1,2,22,Inferior Pincer,0.5945
20260317_022534,0,10,Ring,air,1,3,22,Inferior Pincer,0.6178
20260317_022534,0,10,Ring,air,1,4,22,Inferior Pincer,0.5727
20260317_022534,0,10,Ring,air,1,5,22,Inferior Pincer,0.5746
20260317_022534,0,10,Ring,air,1,6,22,Inferior Pincer,0.6633
20260317_022534,0,10,Ring,air,1,7,22,Inferior Pincer,0.5628
20260317_022534,0,10,Ring,air,1,8,22,Inferior Pincer,0.5838
20260317_022534,0,10,Ring,air,1,9,22,Inferior Pincer,0.6073
20260317_022534,0,10,Ring,air,1,10,22,Inferior Pincer,0.5608
20260317_022534,0,10,Ring,air,1,11,22,Inferior Pincer,0.6072
20260317_022534,0,10,Ring,air,1,12,22,Inferior Pincer,0.5256
20260317_022534,0,10,Ring,air,1,13,22,Inferior Pincer,0.5974
20260317_022534,0,10,Ring,air,1,14,22,Inferior Pincer,0.566
20260317_022534,0,10,Ring,air,1,15,22,Inferior Pincer,0.5411
20260317_022534,0,10,Ring,air,1,16,22,Inferior Pincer,0.5177
20260317_022534,0,10,Ring,air,1,17,22,Inferior Pincer,0.5555
20260317_022534,0,10,Ring,air,1,18,22,Inferior Pincer,0.5614
20260317_022534,0,10,Ring,air,1,19,22,Inferior Pincer,0.4756
20260317_022534,0,10,Ring,air,1,20,22,Inferior Pincer,0.5429
20260317_022534,0,10,Ring,air,1,21,22,Inferior Pincer,0.5693
20260317_022534,0,10,Ring,air,1,22,22,Inferior Pincer,0.609
20260317_022534,0,10,Ring,air,1,23,22,Inferior Pincer,0.5884
20260317_022534,0,10,Ring,air,1,24,22,Inferior Pincer,0.5549
20260317_022534,0,10,Ring,air,1,25,22,Inferior Pincer,0.6186
20260317_022534,0,10,Ring,air,1,26,22,Inferior Pincer,0.5671
20260317_022534,0,10,Ring,air,1,27,22,Inferior Pincer,0.5678
20260317_022534,0,10,Ring,air,1,28,22,Inferior Pincer,0.4926
20260317_022534,0,10,Ring,air,1,29,22,Inferior Pincer,0.613
20260317_022534,0,10,Ring,air,1,30,22,Inferior Pincer,0.4986
20260317_022534,0,10,Ring,air,1,31,22,Inferior Pincer,0.4913
20260317_022534,0,10,Ring,air,1,32,22,Inferior Pincer,0.5358
20260317_022534,0,10,Ring,air,1,33,22,Inferior Pincer,0.5287
20260317_022534,0,10,Ring,air,1,34,22,Inferior Pincer,0.5958
20260317_022534,0,10,Ring,air,1,35,22,Inferior Pincer,0.4541
20260317_022534,0,10,Ring,air,1,36,22,Inferior Pincer,0.5342
20260317_022534,0,10,Ring,air,1,37,22,Inferior Pincer,0.5263
20260317_022534,0,10,Ring,air,1,38,22,Inferior Pincer,0.4582
20260317_022534,0,10,Ring,air,1,39,22,Inferior Pincer,0.6151
20260317_022534,0,10,Ring,air,1,40,22,Inferior Pincer,0.5765
20260317_022534,0,10,Ring,air,1,41,22,Inferior Pincer,0.6019
20260317_022534,0,10,Ring,air,1,42,22,Inferior Pincer,0.4258
20260317_022534,0,10,Ring,air,1,43,22,Inferior Pincer,0.5669
20260317_022534,0,10,Ring,air,1,44,22,Inferior Pincer,0.5385
20260317_022534,0,10,Ring,air,1,45,22,Inferior Pincer,0.5054
20260317_022534,0,10,Ring,air,1,46,22,Inferior Pincer,0.492
20260317_022534,0,10,Ring,air,1,47,22,Inferior Pincer,0.6064
20260317_022534,0,10,Ring,air,1,48,22,Inferior Pincer,0.5126
20260317_022534,0,10,Ring,air,1,49,22,Inferior Pincer,0.4256
20260317_022534,0,10,Ring,air,1,50,22,Inferior Pincer,0.5067
20260317_022534,0,10,Ring,air,1,51,22,Inferior Pincer,0.3894
20260317_022534,0,10,Ring,air,1,52,22,Inferior Pincer,0.4912
20260317_022534,0,10,Ring,air,1,53,22,Inferior Pincer,0.3929
20260317_022534,0,10,Ring,air,1,54,22,Inferior Pincer,0.4547
20260317_022534,0,10,Ring,air,1,55,22,Inferior Pincer,0.4596
20260317_022534,0,10,Ring,air,1,56,20,Palmar Pinch,0.4248
20260317_022534,0,10,Ring,air,1,57,22,Inferior Pincer,0.5519
20260317_022534,0,10,Ring,air,1,58,22,Inferior Pincer,0.4639
20260317_022534,0,10,Ring,air,1,59,22,Inferior Pincer,0.4647
20260317_022534,0,10,Ring,air,1,60,22,Inferior Pincer,0.464
20260317_022534,0,10,Ring,air,1,61,22,Inferior Pincer,0.5204
20260317_022534,0,10,Ring,air,1,62,22,Inferior Pincer,0.5225
20260317_022534,0,10,Ring,air,1,63,22,Inferior Pincer,0.5322
20260317_022534,0,10,Ring,air,1,64,22,Inferior Pincer,0.5264
20260317_022534,0,10,Ring,air,1,65,22,Inferior Pincer,0.4827
20260317_022534,0,10,Ring,air,1,66,22,Inferior Pincer,0.4181
20260317_022534,1,10,Ring,object,1,0,24,Precision Disk,0.5035
20260317_022534,1,10,Ring,object,1,1,22,Inferior Pincer,0.4827
20260317_022534,1,10,Ring,object,1,2,22,Inferior Pincer,0.455
20260317_022534,1,10,Ring,object,1,3,22,Inferior Pincer,0.7063
20260317_022534,1,10,Ring,object,1,4,22,Inferior Pincer,0.7468
20260317_022534,1,10,Ring,object,1,5,22,Inferior Pincer,0.8323
20260317_022534,1,10,Ring,object,1,6,22,Inferior Pincer,0.8485
20260317_022534,1,10,Ring,object,1,7,22,Inferior Pincer,0.841
20260317_022534,1,10,Ring,object,1,8,22,Inferior Pincer,0.8517
20260317_022534,1,10,Ring,object,1,9,22,Inferior Pincer,0.8422
20260317_022534,1,10,Ring,object,1,10,22,Inferior Pincer,0.8117
20260317_022534,1,10,Ring,object,1,11,22,Inferior Pincer,0.8291
20260317_022534,1,10,Ring,object,1,12,22,Inferior Pincer,0.8062
20260317_022534,1,10,Ring,object,1,13,22,Inferior Pincer,0.7934
20260317_022534,1,10,Ring,object,1,14,22,Inferior Pincer,0.8168
20260317_022534,1,10,Ring,object,1,15,22,Inferior Pincer,0.7899
20260317_022534,1,10,Ring,object,1,16,22,Inferior Pincer,0.8325
20260317_022534,1,10,Ring,object,1,17,22,Inferior Pincer,0.8177
20260317_022534,1,10,Ring,object,1,18,22,Inferior Pincer,0.7956
20260317_022534,1,10,Ring,object,1,19,22,Inferior Pincer,0.7956
20260317_022534,1,10,Ring,object,1,20,22,Inferior Pincer,0.8054
20260317_022534,1,10,Ring,object,1,21,22,Inferior Pincer,0.7696
20260317_022534,1,10,Ring,object,1,22,22,Inferior Pincer,0.8161
20260317_022534,1,10,Ring,object,1,23,22,Inferior Pincer,0.7831
20260317_022534,1,10,Ring,object,1,24,22,Inferior Pincer,0.8236
20260317_022534,1,10,Ring,object,1,25,22,Inferior Pincer,0.8142
