,Large Diameter,Small Diameter,Index Finger Extension,Extension Type,Parallel Extension,Palmar,Medium Wrap,Adducted Thumb,Light Tool,Distal,Ring,Power Disk,Power Sphere,Sphere 4-Finger,Sphere 3-Finger,Lateral,Stick,Adduction Grip,Writing Tripod,Lateral Tripod,Palmar Pinch,Tip Pinch,Inferior Pincer,Prismatic 3 Finger,Precision Disk,Precision Sphere,Quadpod,Tripod
Large Diameter,0.6209109209864117,0.0,0.00012581781580271766,0.03724207347760443,0.06932561650729743,0.009310518369401107,0.0,0.0017614494212380473,0.005284348263714142,0.0932310015098138,0.03900352289884248,0.014343231001509815,0.03434826371414192,0.0020130850528434826,0.0036487166582788123,0.0,0.0,0.0020130850528434826,0.004026170105686965,0.0,0.000377453447408153,0.0005032712632108706,0.00805234021137393,0.0002516356316054353,0.030951182687468545,0.013336688475088072,0.0076748867639657775,0.002264720684448918
Small Diameter,0.0006817562039814562,0.6062176165803109,0.00886283065175893,0.004908644668666485,0.001636214889555495,0.004226888464685029,0.016089446413962368,0.12339787292064358,0.06953913280610853,0.0017725661303517862,0.0012271611671666213,0.0109080992637033,0.0024543223343332426,0.000545404963185165,0.006817562039814562,0.05835833106081265,0.0020452686119443687,0.001636214889555495,0.043496045814016907,0.004772293427870194,0.0055904008726479415,0.0006817562039814562,0.002727024815925825,0.00040905372238887375,0.014453231524406873,0.0009544586855740388,0.00040905372238887375,0.0051813471502590676
Index Finger Extension,0.0,0.0005833068193869976,0.851680984197688,0.0003711952487008166,0.006151235549899247,0.00042422314137236184,0.0015378088874748118,0.002015059921518719,0.0031286456676211686,0.08404920988439919,0.00026513946335772617,0.00021211157068618092,0.00021211157068618092,0.0016438646728179022,0.0019620320288471736,0.0001590836780146357,0.0011666136387739952,0.000901474175416269,0.015749284123448934,0.0,0.0022271714922048997,0.0,0.0003181673560292714,0.0,0.005461872945169159,0.00026513946335772617,0.0005833068193869976,0.01893095768374165
Extension Type,0.003151881279138486,0.0019042616061461684,0.00256090353930002,0.8357081883249065,0.006041105785015431,0.0003283209665769256,0.006041105785015431,0.018320309934992448,0.01385514478954626,0.005975441591700046,0.001575940639569243,0.0,0.009783964803992382,0.0003939851598923107,0.006106769978330816,0.021997504760654017,0.00013132838663077023,0.003414538052400026,0.014314794142753957,0.001969925799461554,0.001575940639569243,0.0013789480596230876,0.002757896119246175,0.0058441132050692755,0.019699257994615537,0.0032175454724538708,0.007420053844638518,0.004530829338761574
Parallel Extension,0.07864832535885168,0.00014952153110047846,0.0008971291866028708,0.010466507177033494,0.7450657894736842,0.02825956937799043,0.0002990430622009569,0.002242822966507177,0.004784688995215311,0.02332535885167464,0.005980861244019139,0.004037081339712919,0.005980861244019139,0.02646531100478469,0.0005980861244019139,0.0002990430622009569,0.0,0.00014952153110047846,0.00194377990430622,0.00014952153110047846,0.0020933014354066986,0.00014952153110047846,0.007625598086124402,0.0004485645933014354,0.02825956937799043,0.017344497607655503,0.002242822966507177,0.0020933014354066986
Palmar,0.006574246105473774,0.005430898956695727,0.0008575103615835358,0.0010004287551807919,0.09332571101900815,0.652136629984279,0.00014291839359725596,0.00600257253108475,0.10247248820923253,0.00014291839359725596,0.0010004287551807919,0.02443904530513077,0.0004287551807917679,0.007574674860654566,0.004430470201514935,0.013434328998142061,0.0008575103615835358,0.00014291839359725596,0.015435186508503644,0.007288838073460055,0.013291410604544805,0.0005716735743890238,0.004430470201514935,0.0021437759039588393,0.01271973703015578,0.0010004287551807919,0.014148920966128341,0.008575103615835357
Medium Wrap,0.007713248638838476,0.11343012704174228,0.014972776769509982,0.012250453720508167,0.004990925589836661,0.004083484573502722,0.27268602540834846,0.13294010889292196,0.06760435571687841,0.022686025408348458,0.007713248638838476,0.004083484573502722,0.020871143375680582,0.012250453720508167,0.013157894736842105,0.029038112522686024,0.0018148820326678765,0.004083484573502722,0.07531760435571688,0.0054446460980036296,0.005898366606170599,0.0,0.01588021778584392,0.002268602540834846,0.09482758620689655,0.0027223230490018148,0.024047186932849365,0.02722323049001815
Adducted Thumb,0.002204611809569207,0.06482750402192695,0.01364475957814455,0.009116367753083478,0.005898826193171662,0.0019066912947625573,0.011797652386343324,0.5554430078055175,0.14782815944705952,0.004587975928022404,0.002085443603646547,0.002919621045105166,0.0038729666924864447,0.0017875230888398975,0.01352559137222189,0.061967467079783116,0.0029792051480664957,0.0039921348984091045,0.025919084788178514,0.001430018471071918,0.005362569266519693,0.00011916820592265983,0.011082643150807365,0.0002979205148066496,0.02991121968658762,0.0010725138533039386,0.002800452839182506,0.011618900077459334
Light Tool,0.0016008088297244925,0.011837560030331115,0.005897716741090235,0.0016429353778751369,0.0023169601482854493,0.018914820119639398,0.001727188474176426,0.03075238014997051,0.6793327154772938,0.001348049540820625,0.00033701238520515627,0.005181565422529278,0.001727188474176426,0.0024012132445867386,0.003538630044654141,0.13931249473418147,0.017819529867722637,0.0004633920296570899,0.04031510658016682,0.003370123852051563,0.006529614963349903,0.0004212654815064454,0.0048866795854747664,0.0011374168000674026,0.004254781363215098,0.00033701238520515627,0.006024096385542169,0.0065717415115005475
Distal,0.014262765905661296,9.735676386116926e-05,0.08693959012802414,0.008031933018546463,0.01450615781531422,0.0003407486735140924,0.00024339190965292314,0.005549335540086647,0.0010222460205422772,0.8121988025118045,0.0035048434990020932,0.0013629946940563696,0.005744049067808986,0.002141848804945724,0.0034561651170715085,4.867838193058463e-05,0.0,0.0007788541108893541,0.0007788541108893541,0.0,0.00019471352772233852,0.0,0.004381054373752616,0.00019471352772233852,0.01864382027941391,0.0075938275811712015,0.001947135277223385,0.006036119359392494
