,Large Diameter,Small Diameter,Index Finger Extension,Extension Type,Parallel Extension,Palmar,Medium Wrap,Adducted Thumb,Light Tool,Distal,Ring,Power Disk,Power Sphere,Sphere 4-Finger,Sphere 3-Finger,Lateral,Stick,Adduction Grip,Writing Tripod,Lateral Tripod,Palmar Pinch,Tip Pinch,Inferior Pincer,Prismatic 3 Finger,Precision Disk,Precision Sphere,Quadpod,Tripod
Large Diameter,0.732133870156014,0.0,0.00012581781580271766,0.026547559134373427,0.08454957221942627,0.005787619526925012,0.00012581781580271766,0.0050327126321087065,0.0006290890790135883,0.04755913437342728,0.018621036738802214,0.018998490186210366,0.019124308002013084,0.0,0.0055359838953195776,0.0006290890790135883,0.0,0.001509813789632612,0.004026170105686965,0.0,0.0005032712632108706,0.0,0.0031454453950679417,0.0,0.01572722697533971,0.0016356316054353297,0.006039255158530448,0.0020130850528434826
Small Diameter,0.000545404963185165,0.7219798200163622,0.0017725661303517862,0.0012271611671666213,0.00109080992637033,0.0020452686119443687,0.00654485955822198,0.15625852195254977,0.022361603490591766,0.00109080992637033,0.000545404963185165,0.00327242977911099,0.002317971093536951,0.0,0.006408508317425688,0.032178892827924736,0.00013635124079629124,0.00436323970548132,0.01418052904281429,0.0,0.0029997272975184073,0.0,0.0036814835014998635,0.0014998636487592036,0.00327242977911099,0.0,0.0012271611671666213,0.008999181892555223
Index Finger Extension,0.00021211157068618092,0.0004772510340439071,0.8582564428889596,0.00042422314137236184,0.006946653939972425,0.00010605578534309046,0.0006893626047300881,0.003181673560292714,0.0027574504189203522,0.03218793085162796,0.0,0.00026513946335772617,0.00026513946335772617,0.0003711952487008166,0.007158765510658607,0.0005302789267154523,0.0009545020680878142,0.0032877293456358044,0.035634743875278395,0.0003711952487008166,0.0,0.0,0.00042422314137236184,0.0,0.0023862551702195354,0.00026513946335772617,0.0,0.04284653727860855
Extension Type,0.004005515792238492,0.003086217085823101,0.00026265677326154047,0.8417492941099218,0.004990478691969269,0.00026265677326154047,0.004859150305338499,0.030730842471600236,0.008273688357738526,0.005187471271915424,6.566419331538512e-05,0.00013132838663077023,0.0172040186486309,0.0,0.009258651257469303,0.024558408299954034,0.0,0.009586972224046227,0.0028892245058769455,0.0007223061264692364,0.00013132838663077023,0.0005909777398384661,0.002166918379407709,0.005909777398384661,0.007091732878061593,0.00256090353930002,0.007682710617900059,0.006041105785015431
Parallel Extension,0.07177033492822966,0.0008971291866028708,0.00014952153110047846,0.01450358851674641,0.8101076555023924,0.025119617224880382,0.0007476076555023923,0.005681818181818182,0.0011961722488038277,0.009718899521531101,0.004784688995215311,0.00777511961722488,0.008223684210526315,0.0026913875598086126,0.005382775119617225,0.00014952153110047846,0.0,0.0023923444976076554,0.0008971291866028708,0.00014952153110047846,0.0004485645933014354,0.0,0.004186602870813397,0.0,0.017643540669856458,0.003438995215311005,0.0004485645933014354,0.0014952153110047847
Palmar,0.004859225382306703,0.0028583678719451195,0.0004287551807917679,0.0028583678719451195,0.11990853222809776,0.6201229098184936,0.00014291839359725596,0.008718022009432613,0.10475918250678862,0.0005716735743890238,0.0005716735743890238,0.043447191653565816,0.0018579391167643277,0.0011433471487780477,0.0034300414463341432,0.01843647277404602,0.00014291839359725596,0.0010004287551807919,0.018579391167643275,0.0022866942975560954,0.011576389881377734,0.0,0.0015721023295698156,0.0018579391167643277,0.010575961126196942,0.0012862655423753037,0.006288409318279262,0.010718879519794198
Medium Wrap,0.019056261343012703,0.20508166969147004,0.006805807622504537,0.004537205081669692,0.016333938294010888,0.007259528130671506,0.3044464609800363,0.25362976406533577,0.023593466424682397,0.010889292196007259,0.0,0.008620689655172414,0.01678765880217786,0.00045372050816696913,0.010435571687840291,0.010889292196007259,0.00045372050816696913,0.005898366606170599,0.024500907441016333,0.0013611615245009074,0.0,0.0,0.006352087114337568,0.00045372050816696913,0.030399274047186932,0.0,0.004990925589836661,0.02676950998185118
Adducted Thumb,0.004170887207293094,0.05559196806292081,0.0025621164273371866,0.00744801287016624,0.005481737472442352,0.00047667282369063933,0.011023059047846034,0.7636298635524043,0.06363582196270035,0.002264195912530537,0.00047667282369063933,0.0017279389858785676,0.002919621045105166,5.9584102961329916e-05,0.009175951856044808,0.019543585771316214,0.0009533456473812787,0.005541321575403682,0.00804385389977954,0.00017875230888398974,0.0032771256628731454,5.9584102961329916e-05,0.006196746707978312,0.00017875230888398974,0.011023059047846034,0.0003575046177679795,0.0017875230888398975,0.012214741107072633
Light Tool,0.0020220743112309377,0.031889796950037914,0.0035807565928047858,0.00033701238520515627,0.0025697194371893167,0.014744291852725588,0.0004633920296570899,0.07818687336759626,0.7112225124273317,0.000547645125958379,0.0001263796444519336,0.0037071362372567192,0.003370123852051563,0.0007582778667116017,0.0024854663408880274,0.08117785828629202,0.002148453955682871,0.0008004044148622462,0.03492290841688432,0.0023169601482854493,0.004381161007667032,0.0,0.0009689106074648243,0.005097312326227989,0.001348049540820625,0.0005055185778077344,0.0056028309040357235,0.004718173392872188
Distal,0.020590955556637296,0.0001460351457917539,0.08577130896169011,0.009248892566811079,0.011877525191062648,4.867838193058463e-05,0.0006328189650976002,0.00515990848464197,0.0007788541108893541,0.7984228204254491,0.00326145158934917,0.00326145158934917,0.003991627318307939,0.0016063866037092926,0.011244706225965049,0.0002920702915835078,0.0,0.0030667380616268315,0.0010222460205422772,0.0,0.0,0.0,0.002531275860390401,0.0001460351457917539,0.016112544419023513,0.012072238718784987,0.0012656379301952004,0.007447792435379448
