,Large Diameter,Small Diameter,Index Finger Extension,Extension Type,Parallel Extension,Palmar,Medium Wrap,Adducted Thumb,Light Tool,Distal,Ring,Power Disk,Power Sphere,Sphere 4-Finger,Sphere 3-Finger,Lateral,Stick,Adduction Grip,Writing Tripod,Lateral Tripod,Palmar Pinch,Tip Pinch,Inferior Pincer,Prismatic 3 Finger,Precision Disk,Precision Sphere,Quadpod,Tripod
Large Diameter,0.7515098137896327,0.00012581781580271766,0.000377453447408153,0.0398842476094615,0.057121288374433817,0.0035228988424760945,0.0008807247106190236,0.0033970810266733768,0.008303975842979365,0.028560644187216908,0.02101157523905385,0.026547559134373427,0.0249119275289381,0.00012581781580271766,0.001509813789632612,0.00012581781580271766,0.0,0.001887267237040765,0.0012581781580271766,0.0,0.0,0.0002516356316054353,0.0032712632108706594,0.0013839959738298944,0.014846502264720684,0.0021389028686462004,0.002893809763462506,0.0041519879214896825
Small Diameter,0.00013635124079629124,0.5459503681483502,0.005726752113444232,0.006408508317425688,0.004226888464685029,0.01104445050449959,0.016771202617943824,0.17412053449686393,0.0839923643305154,0.0012271611671666213,0.0013635124079629125,0.007908371966184892,0.004635942187073902,0.0,0.008590128170166349,0.04063266975729479,0.0020452686119443687,0.0008181074447777475,0.032042541587128444,0.0025906735751295338,0.00886283065175893,0.002727024815925825,0.007090264521407145,0.001636214889555495,0.0020452686119443687,0.0008181074447777475,0.002863376056722116,0.023725115898554677
Index Finger Extension,0.00021211157068618092,0.0001590836780146357,0.8868384770389225,0.002280199384876445,0.0034998409163219855,0.0003181673560292714,0.0014317531021317213,0.0022271714922048997,0.0025983667409057165,0.045763071375543536,0.0011135857461024498,0.0006893626047300881,0.0,0.0005833068193869976,0.005143705589139887,0.00021211157068618092,0.0003181673560292714,0.0017499204581609927,0.01977940396648637,0.0,0.0,0.0,0.0009545020680878142,5.302789267154523e-05,0.0019620320288471736,0.00010605578534309046,0.000901474175416269,0.021105101283275002
Extension Type,0.008536345131000066,0.000984962899730777,0.0009192987064153917,0.7606540153654212,0.03375139536410795,0.011950883183400093,0.004859150305338499,0.01950226541466938,0.011819554796769322,0.012279204149977017,0.0005909777398384661,0.0013789480596230876,0.027841617965723292,0.0005909777398384661,0.009455643837415458,0.01615339155558474,0.0003283209665769256,0.003086217085823101,0.007091732878061593,0.001575940639569243,0.0009192987064153917,0.0013132838663077024,0.003348873859084641,0.004268172565500033,0.034014052137369494,0.006500755138223127,0.00833935255105391,0.0079453673911616
Parallel Extension,0.09120813397129186,0.0,0.0026913875598086126,0.024072966507177034,0.7505980861244019,0.01465311004784689,0.0017942583732057417,0.007476076555023923,0.008373205741626795,0.014802631578947368,0.013157894736842105,0.020185406698564595,0.011064593301435407,0.0011961722488038277,0.0010466507177033493,0.00014952153110047846,0.0,0.00388755980861244,0.0011961722488038277,0.0,0.0002990430622009569,0.0004485645933014354,0.002242822966507177,0.0008971291866028708,0.02138157894736842,0.0010466507177033493,0.0008971291866028708,0.005233253588516747
Palmar,0.0021437759039588393,0.0025725310847506074,0.0004287551807917679,0.05716735743890239,0.07731885093611547,0.6121194797770473,0.0005716735743890238,0.010575961126196942,0.11519222523938831,0.0004287551807917679,0.0020008575103615837,0.03544376161211948,0.0010004287551807919,0.0027154494783478635,0.0017150207231670716,0.03044161783621552,0.0002858367871945119,0.004430470201514935,0.005573817350292983,0.006288409318279262,0.005430898956695727,0.0005716735743890238,0.005287980563098471,0.0028583678719451195,0.005002143775903959,0.0024296126911533514,0.005573817350292983,0.004430470201514935
Medium Wrap,0.009528130671506351,0.10843920145190562,0.007259528130671506,0.023139745916515426,0.0367513611615245,0.008166969147005444,0.3797640653357532,0.1837568058076225,0.028584392014519056,0.019963702359346643,0.0,0.014972776769509982,0.012704174228675136,0.0,0.020871143375680582,0.01588021778584392,0.0018148820326678765,0.010435571687840291,0.044918330308529944,0.006805807622504537,0.0009074410163339383,0.00045372050816696913,0.008620689655172414,0.0027223230490018148,0.029038112522686024,0.006805807622504537,0.004990925589836661,0.012704174228675136
Adducted Thumb,0.0012512661621879282,0.05225525829708634,0.0038729666924864447,0.00715009235535959,0.014002264195912531,0.0014896025740332478,0.017875230888398975,0.6349282011559316,0.11714234642197462,0.002919621045105166,0.0010725138533039386,0.0020258595006852173,0.004170887207293094,0.0,0.02127152475719478,0.05028898289936245,0.0026217005302985163,0.003694214383602455,0.012691413930763272,0.00023833641184531966,0.0011320979562652685,0.00011916820592265983,0.011499731871536674,0.0,0.016028123696597747,0.0013108502651492581,0.0026812846332598464,0.016266460108443067
Light Tool,0.0009689106074648243,0.012006066222933693,0.0024854663408880274,0.002359086696436094,0.004170528266913809,0.019083326312241976,0.0005055185778077344,0.05270031173645631,0.7241553627095796,0.0007582778667116017,0.00016850619260257814,0.004802426489173477,0.001179543348218047,0.001811441570477715,0.0038335158817086527,0.09537450501305923,0.016976998904709748,0.001348049540820625,0.028351166905383772,0.0024012132445867386,0.006613868059651192,0.00033701238520515627,0.0005897716741090235,0.0056028309040357235,0.0014323026371219141,4.2126548150644534e-05,0.003075238014997051,0.006866627348555059
Distal,0.020785669084359637,0.0001460351457917539,0.07642505963101787,0.0066202599425595095,0.00389427055444677,0.00024339190965292314,0.000535462201236431,0.0034074867351409238,0.0007788541108893541,0.8129776566226938,0.004283697609891448,0.0020444920410845543,0.0033101299712797547,0.0027259893881127393,0.003991627318307939,0.0,0.0,0.0012169595482646157,0.0014603514579175389,0.0,0.0001460351457917539,0.0,0.004478411137613786,4.867838193058463e-05,0.032322445601908195,0.0062308328871148325,0.0006328189650976002,0.011293384607895633
