,Large Diameter,Small Diameter,Index Finger Extension,Extension Type,Parallel Extension,Palmar,Medium Wrap,Adducted Thumb,Light Tool,Distal,Ring,Power Disk,Power Sphere,Sphere 4-Finger,Sphere 3-Finger,Lateral,Stick,Adduction Grip,Writing Tripod,Lateral Tripod,Palmar Pinch,Tip Pinch,Inferior Pincer,Prismatic 3 Finger,Precision Disk,Precision Sphere,Quadpod,Tripod
Large Diameter,0.6224207347760443,0.0,0.0,0.036990437845998994,0.06894816305988928,0.005661801711122295,0.0,0.0033970810266733768,0.012959235027679919,0.07159033719174634,0.033341721187720184,0.040135883241066934,0.040135883241066934,0.001132360342224459,0.002642174131857071,0.0,0.0,0.001132360342224459,0.006542526421741319,0.0,0.0008807247106190236,0.00012581781580271766,0.008681429290387519,0.0021389028686462004,0.024660291897332664,0.011071967790639155,0.001509813789632612,0.0039003522898842474
Small Diameter,0.00013635124079629124,0.584265066812108,0.007499318243796019,0.00327242977911099,0.000545404963185165,0.00872647941096264,0.007090264521407145,0.13771475320425416,0.09230979001908918,0.0020452686119443687,0.0012271611671666213,0.016771202617943824,0.00218161985274066,0.00013635124079629124,0.006817562039814562,0.06190346332151623,0.002863376056722116,0.00109080992637033,0.023997818380147258,0.007362967002999727,0.004090537223888737,0.0008181074447777475,0.004226888464685029,0.0014998636487592036,0.017180256340332697,0.00013635124079629124,0.00013635124079629124,0.003954185983092446
Index Finger Extension,0.00010605578534309046,0.0003711952487008166,0.8206066390921625,0.0006893626047300881,0.005727012408526885,0.0004772510340439071,0.0009545020680878142,0.003658924594336621,0.0030756177749496237,0.09757132251564322,0.0005833068193869976,0.0003181673560292714,5.302789267154523e-05,0.0022271714922048997,0.006151235549899247,0.0005302789267154523,0.0011666136387739952,0.0011666136387739952,0.019620320288471736,0.0003711952487008166,0.00010605578534309046,0.0,0.0013787252094601761,0.0,0.006469402905928519,0.00042422314137236184,0.0003711952487008166,0.025824583731042527
Extension Type,0.004859150305338499,0.0014446122529384728,0.0011819554796769322,0.8415523015299757,0.0038085232122923368,0.00019699257994615536,0.0026922319259307897,0.017991988968415522,0.017401011228577058,0.004465165145446188,0.001707269026200013,6.566419331538512e-05,0.011425569636877011,0.00026265677326154047,0.008733337710946221,0.021537855407446318,0.0,0.006172434171646202,0.01332983124302318,0.0023639109593538645,0.0008536345131000065,0.0008536345131000065,0.0021012541860923237,0.006500755138223127,0.01575940639569243,0.0032175454724538708,0.005581456431807736,0.003939851598923108
Parallel Extension,0.0924043062200957,0.0002990430622009569,0.0008971291866028708,0.011214114832535885,0.7443181818181818,0.0215311004784689,0.0,0.002840909090909091,0.004186602870813397,0.02048444976076555,0.007625598086124402,0.002840909090909091,0.007476076555023923,0.021082535885167463,0.0023923444976076554,0.0004485645933014354,0.0,0.0007476076555023923,0.0026913875598086126,0.0002990430622009569,0.002541866028708134,0.0002990430622009569,0.011363636363636364,0.0005980861244019139,0.02556818181818182,0.010316985645933014,0.0014952153110047847,0.004037081339712919
Palmar,0.00814634843504359,0.003287123052736887,0.0008575103615835358,0.0008575103615835358,0.08889524081749321,0.7014434757753323,0.0,0.004716306988709447,0.07603258539374018,0.0010004287551807919,0.0014291839359725598,0.016435615263684436,0.0011433471487780477,0.008003430041446335,0.0010004287551807919,0.01629269687008718,0.0,0.0010004287551807919,0.01457767614692011,0.007860511647849079,0.007431756467057311,0.0004287551807917679,0.0024296126911533514,0.003144204659139631,0.014863512934114621,0.0010004287551807919,0.007717593254251822,0.010004287551807918
Medium Wrap,0.004083484573502722,0.17831215970961886,0.009528130671506351,0.02676950998185118,0.007713248638838476,0.006352087114337568,0.18557168784029038,0.15562613430127042,0.06352087114337568,0.02223230490018149,0.006805807622504537,0.007713248638838476,0.014519056261343012,0.009528130671506351,0.023593466424682397,0.023139745916515426,0.00045372050816696913,0.009074410163339383,0.06442831215970962,0.014065335753176044,0.003176043557168784,0.0,0.02223230490018149,0.004083484573502722,0.08484573502722323,0.0,0.01588021778584392,0.0367513611615245
Adducted Thumb,0.0026812846332598464,0.05463862241553953,0.009771792885658107,0.012870166239647263,0.0029792051480664957,0.003515462074718465,0.009473872370851457,0.5979264732169457,0.13817553476732408,0.004290055413215754,0.0030387892510278258,0.004885896442829054,0.003932550795447774,0.0016683548829172377,0.0145385211225645,0.04319847464696419,0.004111303104331764,0.005898826193171662,0.025799916582255854,0.0005958410296132992,0.005362569266519693,0.0,0.009831376988619436,0.00023833641184531966,0.026455341714830483,0.0011916820592265983,0.0023237800154918666,0.010605970327116725
Light Tool,0.0027803521779425394,0.011037155615468868,0.0023169601482854493,0.0018535681186283596,0.0015165557334232034,0.029277950964697954,0.001179543348218047,0.04456988794338192,0.6577639228241637,0.002148453955682871,0.00033701238520515627,0.005518577807734434,0.004339034459516387,0.0022327070519841605,0.0013059229926699807,0.14731653888280394,0.008762322015334063,0.0009689106074648243,0.042337180891397756,0.0027803521779425394,0.007919791052321172,4.2126548150644534e-05,0.001979947763080293,0.0016429353778751369,0.004254781363215098,0.0005055185778077344,0.005687084000337013,0.007624905215266661
Distal,0.023803728764055884,0.00019471352772233852,0.08314267633743855,0.010271138587353356,0.011098671080173294,0.00024339190965292314,0.00038942705544467703,0.004965194956919632,0.000535462201236431,0.7906829576984861,0.00525726524850314,0.0028233461519739083,0.005549335540086647,0.0027746677700433236,0.009005500657158156,0.0004867838193058463,0.0,0.0016063866037092926,0.0011682811663340311,0.0,0.00019471352772233852,4.867838193058463e-05,0.004673124665336125,0.0001460351457917539,0.024144477437569974,0.006961008616073601,0.0014116730759869541,0.00842136007399114
