,Large Diameter,Small Diameter,Index Finger Extension,Extension Type,Parallel Extension,Palmar,Medium Wrap,Adducted Thumb,Light Tool,Distal,Ring,Power Disk,Power Sphere,Sphere 4-Finger,Sphere 3-Finger,Lateral,Stick,Adduction Grip,Writing Tripod,Lateral Tripod,Palmar Pinch,Tip Pinch,Inferior Pincer,Prismatic 3 Finger,Precision Disk,Precision Sphere,Quadpod,Tripod
Large Diameter,0.7035732259687972,0.0,0.0,0.02365374937091092,0.07674886763965777,0.015349773527931555,0.0005032712632108706,0.002264720684448918,0.0039003522898842474,0.03321590337191746,0.025918470055359837,0.04240060392551585,0.033719174635128336,0.0,0.004781077000503271,0.0005032712632108706,0.0,0.0041519879214896825,0.0032712632108706594,0.0,0.0005032712632108706,0.0,0.004026170105686965,0.001132360342224459,0.012078510317060896,0.001887267237040765,0.005158530447911425,0.0012581781580271766
Small Diameter,0.0002727024815925825,0.5932642487046632,0.007226615762203436,0.010635396782110717,0.005863103354240524,0.011862557949277338,0.007772020725388601,0.14521407144805018,0.1028088355604036,0.00218161985274066,0.00013635124079629124,0.003136078538314699,0.009135533133351513,0.0,0.005863103354240524,0.0467684755931279,0.001636214889555495,0.0017725661303517862,0.015544041450777202,0.0029997272975184073,0.002863376056722116,0.0014998636487592036,0.00886283065175893,0.002727024815925825,0.007226615762203436,0.0002727024815925825,0.00013635124079629124,0.002317971093536951
Index Finger Extension,0.0001590836780146357,0.0007423904974016332,0.8958001909004136,0.0007423904974016332,0.005939123979213066,0.0007423904974016332,0.0007423904974016332,0.0031286456676211686,0.003181673560292714,0.04989924700392406,0.0005302789267154523,0.0003711952487008166,0.00021211157068618092,0.0007423904974016332,0.003711952487008166,0.0005833068193869976,0.00026513946335772617,0.000901474175416269,0.019090041361756283,0.0004772510340439071,0.0,0.0,0.0003711952487008166,0.0006363347120585428,0.0019090041361756285,0.0003181673560292714,0.00010605578534309046,0.008696574398133419
Extension Type,0.0038085232122923368,0.001116291286361547,0.0014446122529384728,0.8621051940376913,0.011753890603453937,0.0005253135465230809,0.001969925799461554,0.01063759931709239,0.0052531354652308095,0.00564712062512312,0.0003283209665769256,0.0,0.01628471994221551,0.00026265677326154047,0.009127322870838532,0.022391489920546327,0.00013132838663077023,0.003939851598923108,0.011425569636877011,0.0015102764462538577,0.0003939851598923107,0.002232582572723094,0.00282356031256156,0.0046621577253923435,0.007223061264692363,0.003677194825661567,0.006500755138223127,0.00282356031256156
Parallel Extension,0.06653708133971292,0.0,0.0002990430622009569,0.01450358851674641,0.7997906698564593,0.020035885167464115,0.0008971291866028708,0.006578947368421052,0.0031399521531100478,0.010915071770334928,0.008821770334928229,0.020933014354066987,0.011363636363636364,0.001644736842105263,0.0014952153110047847,0.0,0.0,0.00014952153110047846,0.0020933014354066986,0.00014952153110047846,0.0007476076555023923,0.0,0.0014952153110047847,0.0008971291866028708,0.012858851674641148,0.004934210526315789,0.001644736842105263,0.008074162679425838
Palmar,0.0014291839359725598,0.0027154494783478635,0.0008575103615835358,0.0020008575103615837,0.10161497784764899,0.6928683721594969,0.0012862655423753037,0.005002143775903959,0.08446477061597828,0.0021437759039588393,0.0007145919679862799,0.014148920966128341,0.0004287551807917679,0.003001286265542375,0.0022866942975560954,0.014148920966128341,0.0011433471487780477,0.0008575103615835358,0.026725739602686868,0.004716306988709447,0.004716306988709447,0.00014291839359725596,0.006145490924682006,0.00600257253108475,0.007145919679862799,0.0005716735743890238,0.003858796627125911,0.00886094040302987
Medium Wrap,0.003629764065335753,0.12704174228675136,0.012250453720508167,0.016333938294010888,0.02631578947368421,0.006352087114337568,0.30943738656987296,0.20871143375680581,0.03901996370235935,0.041742286751361164,0.00045372050816696913,0.007259528130671506,0.019963702359346643,0.0,0.010435571687840291,0.02132486388384755,0.00045372050816696913,0.010435571687840291,0.050816696914700546,0.003629764065335753,0.0027223230490018148,0.0013611615245009074,0.013157894736842105,0.007259528130671506,0.034482758620689655,0.0013611615245009074,0.003176043557168784,0.020871143375680582
Adducted Thumb,0.002740868736221176,0.04897813263421319,0.005124232854674373,0.02085443603646547,0.010248465709348746,0.0056604897813263425,0.011261395459691355,0.6025740332479295,0.1483644163737115,0.004587975928022404,0.0005958410296132992,0.0012512661621879282,0.0038729666924864447,0.0003575046177679795,0.02139069296311744,0.04409223619138414,0.00679258773759161,0.002085443603646547,0.017934814991360307,0.0014896025740332478,0.0010129297503426087,0.00017875230888398974,0.010844306738962044,0.000774593338497289,0.012095572901149973,0.0009533456473812787,0.0016683548829172377,0.012214741107072633
Light Tool,0.0014744291852725588,0.011921813126632404,0.0018535681186283596,0.002990984918695762,0.0020220743112309377,0.029825596090656332,0.0004212654815064454,0.028940938579492797,0.7103799814643188,0.0014323026371219141,0.00016850619260257814,0.002653972533490606,0.0024854663408880274,0.0008846575111635353,0.0012216698963686916,0.12945488246693065,0.02211643777908838,0.00269609908164125,0.02059988204566518,0.001979947763080293,0.005981969837391524,8.425309630128907e-05,0.0009689106074648243,0.006782374252253771,0.0005897716741090235,0.0004212654815064454,0.0034965034965034965,0.006150476029994102
Distal,0.02356033685440296,0.0,0.06956140777880543,0.007350435671518279,0.0075938275811712015,9.735676386116926e-05,0.0005841405831670156,0.0022878839507374776,0.0014603514579175389,0.8328384364503724,0.004088984082169109,0.006084797741323079,0.002579954242320985,0.001070924402472862,0.008275324928199386,0.00038942705544467703,0.0,0.0006814973470281848,0.0006328189650976002,4.867838193058463e-05,4.867838193058463e-05,0.0,0.003942948936377355,0.0002920702915835078,0.011001314316312126,0.008762108747505232,0.000535462201236431,0.0062308328871148325
Ring,0.033607169529499624,0.00018670649738610905,0.0016803584764749813,0.0016803584764749813,0.01157580283793876,0.0,0.0,0.004667662434652726,0.0007468259895444362,0.004667662434652726,0.6458177744585512,0.005227781926811053,0.00392083644510829,0.0016803584764749813,0.022031366691560868,0.0020537714712471995,0.0007468259895444362,0.008775205377147125,0.0014936519790888724,0.0,0.01699029126213592,0.01362957430918596,0.18876026885735622,0.0005601194921583271,0.020537714712471993,0.0024271844660194173,0.0003734129947722181,0.0061613144137415985
Power Disk,0.08737076829515508,0.004662477194405028,0.0,0.002027163997567403,0.01844719237786337,0.011554834786134198,0.00020271639975674033,0.004054327995134806,0.005270626393675248,0.009324954388810055,0.006892357591729171,0.7822825866612609,0.01864990877762011,0.0,0.003851611595378066,0.000608149199270221,0.0,0.00040543279951348065,0.0018244475978106628,0.0,0.00020271639975674033,0.00020271639975674033,0.0022298803973241437,0.000608149199270221,0.030407459963511047,0.007297790391242651,0.0010135819987837015,0.000608149199270221
Power Sphere,0.03483792790063617,0.001969100272644653,0.0,0.024992426537412904,0.01469251741896395,0.012723417146319298,0.0003029385034837928,0.02150863374734929,0.009391093607997577,0.012723417146319298,0.013329294153286883,0.026658588306573767,0.6387458345955771,0.0,0.016055740684641016,0.0,0.0,0.0013632232656770676,0.0018176310209027568,0.0,0.0,0.0,0.0012117540139351712,0.0003029385034837928,0.10996667676461679,0.04074522871857013,0.006816116328385338,0.009845501363223265
Sphere 4-Finger,0.0,0.0004098360655737705,0.0018442622950819673,0.0004098360655737705,0.026024590163934425,0.004713114754098361,0.0,0.002663934426229508,0.0020491803278688526,0.0012295081967213116,0.0014344262295081967,0.00020491803278688525,0.0010245901639344263,0.8047131147540983,0.0004098360655737705,0.0,0.0,0.0014344262295081967,0.002663934426229508,0.0,0.004508196721311476,0.0004098360655737705,0.002459016393442623,0.00020491803278688525,0.12479508196721312,0.015163934426229509,0.000819672131147541,0.0004098360655737705
Sphere 3-Finger,0.00904422472599065,0.018701617230014563,0.004445466390741166,0.018778263202268723,0.0015329194450831609,0.0008431056947957384,0.0012263355560665286,0.008354410975703226,0.007894535142178279,0.015405840423085767,0.033187705986050434,0.001992795278608109,0.00666819958611175,0.0004598758335249483,0.6409136199892695,0.008814286809228175,0.00030658388901663215,0.0067448455583659075,0.011880125699394497,0.00030658388901663215,0.00015329194450831607,7.664597225415804e-05,0.015942362228864873,0.0005365218057791063,0.0075113052809074885,0.0033724227791829538,0.009657392504023914,0.16524871617996476
Lateral,0.0,0.004943635069847571,0.0006741320549792142,0.015018164113703606,0.0009362945208044643,0.008239391783079286,3.745178083217857e-05,0.01647878356615857,0.08014681098086214,0.00041196958915396426,0.0005617767124826786,3.745178083217857e-05,0.0004868731508183214,3.745178083217857e-05,0.004157147672371821,0.8297442043369162,0.0071158383581139285,0.0027714317815812142,0.005430508220665892,0.0008239391783079285,0.0009737463016366428,0.014006966031234785,0.0037077263023856783,0.00041196958915396426,0.0011235534249653572,0.00026216246582525,0.00018725890416089285,0.0012733605482940715
Stick,0.0,0.03792415169660679,0.004324683965402528,0.00033266799733865603,0.0,0.00166333998669328,0.001996007984031936,0.015302727877578177,0.32468396540252825,0.0029940119760479044,0.0,0.005655355954757153,0.0,0.0,0.0,0.2055888223552894,0.25116433799068527,0.0026613439787092482,0.06819693945442448,0.014304723885562209,0.016966067864271458,0.025282767797737856,0.00499001996007984,0.007984031936127744,0.0026613439787092482,0.0,0.0,0.0053226879574184965
Adduction Grip,0.010024196335983409,0.0008641548565502938,0.008987210508123056,0.009505703422053232,0.002073971655720705,0.00017283097131005876,0.0003456619426201175,0.00846871759419288,0.020566885585896994,0.00829588662288282,0.0008641548565502938,0.0,0.0,0.00017283097131005876,0.016246111303145523,0.0335292084341514,0.0,0.779294849637055,0.014690632561354994,0.014863463532665053,0.0012098167991704113,0.010888351192533702,0.00138264777048047,0.015554787417905289,0.0077773937089526445,0.0,0.00017283097131005876,0.03404770134808158
Writing Tripod,0.0008066517746339042,0.017560188632414993,0.011789525936957061,0.004467609828741623,0.0006825515016133035,0.009245470340034747,0.002730206006453214,0.011603375527426161,0.06322908910399602,0.0013030528667163069,0.0002482005460412013,6.205013651030033e-05,0.00012410027302060066,6.205013651030033e-05,0.003412757508066518,0.0575825266815587,0.014705882352941176,0.006577314470091834,0.573157110945644,0.019669893273765202,0.0384090344998759,0.004529659965251924,0.0068875651526433355,0.05249441548771407,0.0007446016381236039,0.00012410027302060066,0.005274261603375527,0.09251675353685779
Lateral Tripod,0.0031262211801484957,0.023251270027354436,0.011527940601797577,0.004103165298944901,0.006447831184056272,0.04337631887456037,0.011137162954279016,0.0048847205939820245,0.10414224306369675,0.0033216100039077765,0.0048847205939820245,0.0009769441187964048,0.0,0.0,0.0011723329425556857,0.023837436498632278,0.017389605314576007,0.009574052364204768,0.27862446268073465,0.19441187964048456,0.028722157092614303,0.01406799531066823,0.0007815552950371239,0.14673700664322,0.0013677217663149667,0.0,0.0011723329425556857,0.06096131301289566
Palmar Pinch,7.49737591842855e-05,7.49737591842855e-05,0.0020242914979757085,0.0018743439796071375,0.003598740440845704,0.0017243964612385664,0.0,0.002249212775528565,0.018368571000149946,0.000299895036737142,0.0050232418653471285,0.0003748687959214275,0.0,0.003973609236767131,0.0009746588693957114,0.003598740440845704,0.005473084420452841,0.000449842555105713,0.034712850502324186,0.0014245014245014246,0.7536362273204379,0.0635777477882741,0.04730844204528415,0.020917678812415654,0.007047533363322837,0.0023241865347128506,0.0014245014245014246,0.017468885889938522
Tip Pinch,0.0006989097008666481,0.004473022085546547,0.002516074923119933,0.007827788649706457,0.0019569471624266144,0.0019569471624266144,0.0004193458205199888,0.0009784735812133072,0.012440592675426335,0.0008386916410399776,0.007408442829186469,0.0009784735812133072,0.0009784735812133072,0.0001397819401733296,0.00349454850433324,0.1552977355325692,0.008247134470226446,0.022504892367906065,0.02781660609449259,0.004752585965893207,0.14788929270338272,0.46100083869164105,0.013139502376292984,0.09127760693318424,0.004053676265026559,0.0008386916410399776,0.0016773832820799553,0.01439753983785295
Inferior Pincer,0.0034100596760443308,7.104290991759022e-05,0.00021312872975277067,0.0002841716396703609,0.0056123898834896276,0.0014208581983518045,0.0003552145495879511,0.007175333901676613,0.005825518613242399,0.0029838022165387893,0.1425831202046036,0.0010656436487638534,0.0014208581983518045,0.0007814720090934925,0.013640238704177323,0.003552145495879511,0.0010656436487638534,0.004546746234725774,0.0033390167661267404,0.0,0.07601591361182154,0.009164535379369138,0.6751918158567775,0.00042625745950554135,0.021383915885194657,0.001562944018186985,0.00021312872975277067,0.016695083830633704
Prismatic 3 Finger,0.001448225923244026,0.004344677769732078,0.005792903692976104,0.00999275887038378,0.0030412744388124547,0.006227371469949312,0.001882693700217234,0.0065170166545981175,0.042433019551049965,0.0010137581462708182,0.0013034033309196234,0.0001448225923244026,0.0,0.0017378711078928314,0.002896451846488052,0.0065170166545981175,0.003620564808110065,0.016944243301955104,0.11325126719768285,0.03287472845763939,0.056046343229543806,0.022592324402606806,0.0011585807385952208,0.5217958001448226,0.0008689355539464157,0.0005792903692976104,0.0010137581462708182,0.1339608979000724
