,Large Diameter,Small Diameter,Index Finger Extension,Extension Type,Parallel Extension,Palmar,Medium Wrap,Adducted Thumb,Light Tool,Distal,Ring,Power Disk,Power Sphere,Sphere 4-Finger,Sphere 3-Finger,Lateral,Stick,Adduction Grip,Writing Tripod,Lateral Tripod,Palmar Pinch,Tip Pinch,Inferior Pincer,Prismatic 3 Finger,Precision Disk,Precision Sphere,Quadpod,Tripod
Large Diameter,0.7575490689481631,0.0,0.00012581781580271766,0.030951182687468545,0.06643180674383492,0.009436336185203825,0.0005032712632108706,0.002264720684448918,0.0035228988424760945,0.02692501258178158,0.021389028686462003,0.016859587317564168,0.035732259687971814,0.00012581781580271766,0.001132360342224459,0.0006290890790135883,0.0,0.0027679919476597888,0.001509813789632612,0.00012581781580271766,0.0,0.0,0.0023905385002516355,0.0002516356316054353,0.013839959738298943,0.002264720684448918,0.0016356316054353297,0.0016356316054353297
Small Diameter,0.00013635124079629124,0.6145350422688847,0.003954185983092446,0.00763566948459231,0.003136078538314699,0.009680938096536678,0.024679574584128717,0.18284701390782657,0.05685846741205345,0.0029997272975184073,0.00040905372238887375,0.003136078538314699,0.001636214889555495,0.0,0.003817834742296155,0.03067902917916553,0.00040905372238887375,0.0013635124079629125,0.02304335969457322,0.0036814835014998635,0.0029997272975184073,0.0006817562039814562,0.0059994545950368145,0.0014998636487592036,0.004499590946277611,0.0,0.0,0.009680938096536678
Index Finger Extension,5.302789267154523e-05,0.0012196415314455404,0.847597836461979,0.0006363347120585428,0.006946653939972425,0.0003711952487008166,0.004189203521052074,0.0030756177749496237,0.0032877293456358044,0.0695195672923958,0.0007423904974016332,0.0005833068193869976,0.0005833068193869976,0.0006363347120585428,0.0030756177749496237,0.00021211157068618092,0.0001590836780146357,0.0011135857461024498,0.02746844840386043,0.00026513946335772617,0.0,0.0,0.0003181673560292714,0.00026513946335772617,0.003605896701665076,0.00026513946335772617,0.00042422314137236184,0.02338530066815145
Extension Type,0.00860200932431545,0.0010506270930461619,0.0024952393459846344,0.8611858953312759,0.008930330290892376,0.00045964935320769586,0.003414538052400026,0.010834591897038545,0.008536345131000066,0.010703263510407774,0.001116291286361547,0.0,0.01424912994943857,6.566419331538512e-05,0.006829076104800052,0.02396743056011557,0.0,0.0024295751526692494,0.010046621577253924,0.0007879703197846215,0.0005909777398384661,0.0017729332195153982,0.0018385974128307834,0.0053844638518615795,0.006369426751592357,0.002232582572723094,0.0026922319259307897,0.003414538052400026
Parallel Extension,0.11154306220095694,0.0002990430622009569,0.0,0.01555023923444976,0.7642045454545454,0.021830143540669856,0.0014952153110047847,0.00194377990430622,0.0026913875598086126,0.012410287081339713,0.008223684210526315,0.008522727272727272,0.015849282296650717,0.0007476076555023923,0.0005980861244019139,0.0002990430622009569,0.0,0.0007476076555023923,0.0008971291866028708,0.00014952153110047846,0.0,0.0,0.0005980861244019139,0.0007476076555023923,0.02033492822966507,0.0062799043062200955,0.0002990430622009569,0.0037380382775119617
Palmar,0.007431756467057311,0.003287123052736887,0.0008575103615835358,0.003001286265542375,0.1019008146348435,0.6309847077318851,0.0010004287551807919,0.0034300414463341432,0.13877376018293555,0.0027154494783478635,0.0021437759039588393,0.025010718879519795,0.00014291839359725596,0.0012862655423753037,0.0018579391167643277,0.012148063455766757,0.003144204659139631,0.0007145919679862799,0.019722738316421323,0.004859225382306703,0.010147205945405174,0.0002858367871945119,0.004287551807917679,0.0041446334143204235,0.005430898956695727,0.0022866942975560954,0.0018579391167643277,0.007145919679862799
Medium Wrap,0.009981851179673321,0.10435571687840291,0.014065335753176044,0.009981851179673321,0.019509981851179675,0.003629764065335753,0.38067150635208713,0.16878402903811252,0.04401088929219601,0.028130671506352088,0.0018148820326678765,0.0054446460980036296,0.014519056261343012,0.0,0.009074410163339383,0.029945553539019964,0.0,0.007259528130671506,0.0499092558983666,0.007259528130671506,0.0027223230490018148,0.00045372050816696913,0.009981851179673321,0.0027223230490018148,0.03720508166969147,0.0027223230490018148,0.007259528130671506,0.028584392014519056
Adducted Thumb,0.003932550795447774,0.0511827444437824,0.004468807722099744,0.0203181791098135,0.00810343800274087,0.003932550795447774,0.02133110886015611,0.6755645593755586,0.07531430614312101,0.004647560030983733,0.0010129297503426087,0.0010725138533039386,0.004409223619138414,5.9584102961329916e-05,0.013287254960376572,0.04659476851575999,0.0025621164273371866,0.0034558779717571353,0.017994399094321635,0.000715009235535959,0.001966275397723887,0.0,0.009414288267890127,0.00023833641184531966,0.008878031341238157,0.0005362569266519693,0.002145027706607877,0.016862301138056368
Light Tool,0.0027803521779425394,0.013522621956356897,0.0023169601482854493,0.002653972533490606,0.0040441486224618755,0.022832589097649337,0.0008004044148622462,0.05678658690706884,0.6791220827365406,0.0024854663408880274,0.0,0.004465414103968321,0.002274833600134805,0.0008846575111635353,0.0007582778667116017,0.13804869828966215,0.013775381245260763,0.001348049540820625,0.026413345690454126,0.0023169601482854493,0.0039177689780099416,8.425309630128907e-05,0.0008004044148622462,0.003201617659448985,0.0006740247704103125,0.00029488583705451174,0.0024433397927373832,0.01095290251916758
Distal,0.03032663194275422,0.0002920702915835078,0.06629995618945626,0.0070096869980041865,0.008275324928199386,0.00019471352772233852,0.0005841405831670156,0.003164094825488001,0.0009248892566811079,0.8250498953414789,0.004283697609891448,0.004186340846030278,0.0027746677700433236,0.0009248892566811079,0.005062551720780802,0.0,0.0,0.0008762108747505233,0.0017037433675704619,0.0,0.0,0.0,0.002482597478459816,0.00024339190965292314,0.01567443898164825,0.00905417903908874,0.000535462201236431,0.010076425059631017
Ring,0.041448842419716206,0.0,0.0016803584764749813,0.0024271844660194173,0.019417475728155338,0.0007468259895444362,0.0,0.004480955937266617,0.0007468259895444362,0.0074682598954443615,0.7382374906646751,0.005227781926811053,0.004294249439880508,0.0020537714712471995,0.010642270351008214,0.0033607169529499626,0.0,0.003547423450336072,0.00018670649738610905,0.0,0.005601194921583271,0.010455563853622106,0.11239731142643763,0.00018670649738610905,0.01549663928304705,0.0016803584764749813,0.0005601194921583271,0.0076549663928304704
Power Disk,0.17676870058787755,0.004662477194405028,0.0,0.0016217311980539226,0.0036488951956213257,0.021285221974457733,0.002027163997567403,0.007095073991485911,0.0018244475978106628,0.011554834786134198,0.00648692479221569,0.692479221569025,0.016014595580782484,0.00020271639975674033,0.005067909993918508,0.0034461787958645854,0.0,0.00040543279951348065,0.000608149199270221,0.00020271639975674033,0.0,0.00020271639975674033,0.00020271639975674033,0.00040543279951348065,0.03304277316034867,0.008311372390026352,0.0010135819987837015,0.0014190147982971822
Power Sphere,0.05831566192063011,0.0006058770069675856,0.0,0.0251438957891548,0.008179339594062406,0.006513177824901545,0.0016661617691608604,0.023629203271735837,0.006664647076643442,0.010148439866707059,0.01772190245380188,0.03498939715237807,0.6163283853377765,0.0,0.016510148439866708,0.0,0.0,0.0010602847621932747,0.0013632232656770676,0.0,0.0,0.0,0.0009088155104513784,0.0,0.11814601635867919,0.04650106028476219,0.0009088155104513784,0.004695546803998789
