,Large Diameter,Small Diameter,Index Finger Extension,Extension Type,Parallel Extension,Palmar,Medium Wrap,Adducted Thumb,Light Tool,Distal,Ring,Power Disk,Power Sphere,Sphere 4-Finger,Sphere 3-Finger,Lateral,Stick,Adduction Grip,Writing Tripod,Lateral Tripod,Palmar Pinch,Tip Pinch,Inferior Pincer,Prismatic 3 Finger,Precision Disk,Precision Sphere,Quadpod,Tripod
Large Diameter,0.7070961248112733,0.0006290890790135883,0.0006290890790135883,0.04781077000503271,0.069073980875692,0.013210870659285355,0.000754906894816306,0.006668344237544036,0.0041519879214896825,0.03397081026673377,0.02642174131857071,0.025666834423754403,0.02692501258178158,0.0,0.0013839959738298944,0.000377453447408153,0.0,0.001132360342224459,0.0,0.000377453447408153,0.0005032712632108706,0.0,0.0032712632108706594,0.001509813789632612,0.02264720684448918,0.001509813789632612,0.002893809763462506,0.0013839959738298944
Small Diameter,0.0,0.5586310335424053,0.003954185983092446,0.01104445050449959,0.0055904008726479415,0.017998363785110445,0.01104445050449959,0.17262067084810473,0.08044723206981183,0.0017725661303517862,0.00013635124079629124,0.0017725661303517862,0.004090537223888737,0.0,0.007362967002999727,0.037496591218980094,0.0019089173711480775,0.001636214889555495,0.04131442596127625,0.007772020725388601,0.007499318243796019,0.0009544586855740388,0.00763566948459231,0.0014998636487592036,0.002863376056722116,0.0008181074447777475,0.000545404963185165,0.011589855467684755
Index Finger Extension,0.00010605578534309046,0.0008484462827447237,0.9049740163325909,0.0034998409163219855,0.0011666136387739952,0.00042422314137236184,0.0012196415314455404,0.004613426662424435,0.003818008272351257,0.029960759359423057,0.0006893626047300881,0.0003181673560292714,0.0,0.0007954183900731785,0.004189203521052074,0.0005833068193869976,0.00021211157068618092,0.002068087814190264,0.021635380209990455,0.0,0.0,0.0,0.0,0.0003181673560292714,0.0022271714922048997,0.00042422314137236184,0.0,0.01590836780146357
Extension Type,0.006238098364961586,0.0014446122529384728,0.000984962899730777,0.8075382493926062,0.03040252150502331,0.015825070589007815,0.00282356031256156,0.021209534440869395,0.0076170464245846736,0.015102764462538578,0.0003283209665769256,0.0029548886991923305,0.015562413815746273,0.0005253135465230809,0.0028892245058769455,0.014380458336069341,0.0003939851598923107,0.0024952393459846344,0.009127322870838532,0.0030205528925077154,0.00045964935320769586,0.00013132838663077023,0.003348873859084641,0.004727821918707729,0.01805765316173091,0.00256090353930002,0.0053844638518615795,0.004465165145446188
Parallel Extension,0.07580741626794259,0.002541866028708134,0.0002990430622009569,0.03812799043062201,0.7564294258373205,0.01555023923444976,0.0004485645933014354,0.010017942583732058,0.0035885167464114833,0.017045454545454544,0.011961722488038277,0.008522727272727272,0.00777511961722488,0.0020933014354066986,0.0011961722488038277,0.0002990430622009569,0.0,0.0008971291866028708,0.0008971291866028708,0.0,0.0007476076555023923,0.0,0.004186602870813397,0.0014952153110047847,0.02930622009569378,0.0020933014354066986,0.001644736842105263,0.007027511961722488
Palmar,0.0012862655423753037,0.003001286265542375,0.0011433471487780477,0.06917250250107189,0.07274546234100329,0.6162641131913678,0.0005716735743890238,0.013148492210947549,0.13034157496069745,0.0011433471487780477,0.0017150207231670716,0.005145062169501215,0.0008575103615835358,0.0022866942975560954,0.0020008575103615837,0.021294840645991138,0.0017150207231670716,0.003001286265542375,0.01457767614692011,0.007288838073460055,0.004001715020723167,0.0017150207231670716,0.004573388595112191,0.004001715020723167,0.003144204659139631,0.0037158782335286553,0.0037158782335286553,0.006431327711876518
Medium Wrap,0.003629764065335753,0.12931034482758622,0.007259528130671506,0.048548094373865695,0.039927404718693285,0.009074410163339383,0.3180580762250454,0.19010889292196007,0.029491833030852996,0.038112522686025406,0.0,0.002268602540834846,0.009074410163339383,0.0,0.011796733212341199,0.010435571687840291,0.0,0.004990925589836661,0.04310344827586207,0.008620689655172414,0.0018148820326678765,0.00045372050816696913,0.012704174228675136,0.008166969147005444,0.0367513611615245,0.0027223230490018148,0.003629764065335753,0.029945553539019964
Adducted Thumb,0.0010129297503426087,0.07102425072990526,0.0032175415599118157,0.013287254960376572,0.017279389858785677,0.0034558779717571353,0.017100637549901685,0.6442829053208604,0.10433176428528869,0.003932550795447774,0.00011916820592265983,0.00023833641184531966,0.004051719001370435,0.00011916820592265983,0.012035988798188643,0.045164750044688076,0.004349639516177084,0.0016683548829172377,0.008699279032354169,0.0002979205148066496,0.0016087707799559078,5.9584102961329916e-05,0.010069713400464756,0.0,0.019305249359470894,0.0005362569266519693,0.0003575046177679795,0.012393493415956624
Light Tool,0.0007161513185609571,0.014449406015671075,0.0025697194371893167,0.0035807565928047858,0.004002022074311231,0.02889881203134215,0.000547645125958379,0.07717583621198079,0.7065464655826101,0.000631898222259668,0.00033701238520515627,0.0009267840593141798,0.0008846575111635353,0.0010531637037661135,0.001895694666779004,0.08244165473081136,0.020136490016008087,0.0015586822815738478,0.025865700564495744,0.003201617659448985,0.004465414103968321,8.425309630128907e-05,0.0018535681186283596,0.005687084000337013,0.0009689106074648243,0.0001263796444519336,0.003075238014997051,0.006318982222596681
Distal,0.01986077982767853,0.0006814973470281848,0.09068782553667916,0.008226646546268802,0.005744049067808986,0.0004867838193058463,0.000535462201236431,0.004040305700238524,0.0018011001314316311,0.8063087182982037,0.004381054373752616,0.004040305700238524,0.0038455921725161855,0.0018011001314316311,0.004575767901474955,0.0006328189650976002,0.0,0.0011682811663340311,0.0006814973470281848,0.0,0.0,4.867838193058463e-05,0.0034561651170715085,4.867838193058463e-05,0.025312758603904008,0.00452708951954437,0.0007301757289587694,0.006376868032906586
