,Large Diameter,Small Diameter,Index Finger Extension,Extension Type,Parallel Extension,Palmar,Medium Wrap,Adducted Thumb,Light Tool,Distal,Ring,Power Disk,Power Sphere,Sphere 4-Finger,Sphere 3-Finger,Lateral,Stick,Adduction Grip,Writing Tripod,Lateral Tripod,Palmar Pinch,Tip Pinch,Inferior Pincer,Prismatic 3 Finger,Precision Disk,Precision Sphere,Quadpod,Tripod
Large Diameter,0.8057372924006039,0.0,0.0,0.017488676396577755,0.0385002516356316,0.016985405133366886,0.00012581781580271766,0.0021389028686462004,0.0027679919476597888,0.02264720684448918,0.02302466029189733,0.012833417211877201,0.025541016607951685,0.0,0.003019627579265224,0.0,0.0,0.004403623553095118,0.000754906894816306,0.0,0.0002516356316054353,0.0,0.003019627579265224,0.00012581781580271766,0.01572722697533971,0.000754906894816306,0.003019627579265224,0.001132360342224459
Small Diameter,0.0,0.6047177529315517,0.004499590946277611,0.004226888464685029,0.0035451322607035723,0.007362967002999727,0.019361876193073356,0.23166075811289882,0.03381510771748023,0.0025906735751295338,0.0017725661303517862,0.006817562039814562,0.007226615762203436,0.0,0.008317425688573766,0.030815380419961822,0.0006817562039814562,0.0,0.01308971911644396,0.002863376056722116,0.0019089173711480775,0.0013635124079629125,0.004635942187073902,0.0012271611671666213,0.0036814835014998635,0.00013635124079629124,0.0008181074447777475,0.002863376056722116
Index Finger Extension,5.302789267154523e-05,0.00021211157068618092,0.8783540142114752,0.0003181673560292714,0.00578004030119843,0.0011135857461024498,0.0019620320288471736,0.003871036165022802,0.002704422526248807,0.05753526354862658,0.0005302789267154523,0.0006893626047300881,5.302789267154523e-05,0.0005833068193869976,0.003605896701665076,5.302789267154523e-05,0.0004772510340439071,0.0006363347120585428,0.02603669530172871,5.302789267154523e-05,0.0,0.0,5.302789267154523e-05,5.302789267154523e-05,0.0012726694241170856,0.0003181673560292714,0.0001590836780146357,0.013522112631244034
Extension Type,0.005712784818438506,0.0012476196729923172,0.001116291286361547,0.8592816337251297,0.010834591897038545,0.001575940639569243,0.0029548886991923305,0.019633593801300152,0.011162912863615471,0.007288725458007748,0.00019699257994615536,0.00019699257994615536,0.011425569636877011,0.00019699257994615536,0.007354389651323134,0.011162912863615471,0.00026265677326154047,0.0026265677326154048,0.009915293190623153,0.001969925799461554,0.0005253135465230809,0.0021012541860923237,0.00256090353930002,0.006632083524853897,0.006829076104800052,0.004924814498653884,0.00807669577779237,0.002232582572723094
Parallel Extension,0.10795454545454546,0.0002990430622009569,0.0,0.011214114832535885,0.74686004784689,0.03872607655502392,0.0013456937799043063,0.007625598086124402,0.006130382775119617,0.009718899521531101,0.013008373205741627,0.007027511961722488,0.007326555023923445,0.0014952153110047847,0.0002990430622009569,0.0,0.0,0.0005980861244019139,0.0010466507177033493,0.0,0.00014952153110047846,0.0,0.0026913875598086126,0.0017942583732057417,0.018839712918660288,0.013008373205741627,0.0014952153110047847,0.0013456937799043063
Palmar,0.004716306988709447,0.0020008575103615837,0.0008575103615835358,0.0037158782335286553,0.06774331856509933,0.7681863655852508,0.0010004287551807919,0.0120051450621695,0.05602401029012434,0.0017150207231670716,0.0020008575103615837,0.01843647277404602,0.0007145919679862799,0.0014291839359725598,0.0037158782335286553,0.013148492210947549,0.0002858367871945119,0.0005716735743890238,0.010147205945405174,0.0020008575103615837,0.006431327711876518,0.0,0.004859225382306703,0.0012862655423753037,0.0034300414463341432,0.0017150207231670716,0.005145062169501215,0.0067171644990710305
Medium Wrap,0.009074410163339383,0.1075317604355717,0.017695099818511795,0.019056261343012703,0.030852994555353903,0.008620689655172414,0.34165154264972775,0.2150635208711434,0.024047186932849365,0.028584392014519056,0.00045372050816696913,0.010435571687840291,0.018602540834845735,0.0,0.009981851179673321,0.02586206896551724,0.0,0.008166969147005444,0.05172413793103448,0.015426497277676952,0.0009074410163339383,0.00045372050816696913,0.009074410163339383,0.0013611615245009074,0.027676950998185117,0.003629764065335753,0.006352087114337568,0.007713248638838476
Adducted Thumb,0.003515462074718465,0.04170887207293094,0.0023237800154918666,0.012929750342608593,0.009116367753083478,0.003753798486563785,0.019603169874277543,0.7443841982958946,0.05988202347613657,0.0034558779717571353,0.0011320979562652685,0.003396293868795805,0.004170887207293094,0.00017875230888398974,0.01370434368110588,0.024667818625990587,0.0030387892510278258,0.001966275397723887,0.011857236489304654,0.00011916820592265983,0.0017875230888398975,0.0002979205148066496,0.006494667222784961,0.00011916820592265983,0.011857236489304654,0.0011320979562652685,0.0011916820592265983,0.012214741107072633
Light Tool,0.0010531637037661135,0.011542674193276602,0.002190580503833516,0.002106327407532227,0.0024433397927373832,0.04848765692139186,0.00033701238520515627,0.0833263122419749,0.6602915157132024,0.001179543348218047,8.425309630128907e-05,0.0024012132445867386,0.0010531637037661135,0.0009689106074648243,0.0058555901929395904,0.10371556154688685,0.0208105147864184,0.0007582778667116017,0.030036228831409554,0.0015165557334232034,0.00593984328924088,8.425309630128907e-05,0.00037913893335580085,0.004465414103968321,0.0006740247704103125,8.425309630128907e-05,0.004128401718763165,0.00408627517061252
Distal,0.02901231563062844,9.735676386116926e-05,0.0687338752859855,0.004819159811127878,0.00934624933067225,0.0002920702915835078,0.000535462201236431,0.0038455921725161855,0.0014603514579175389,0.8282626685488974,0.005549335540086647,0.0022878839507374776,0.0012656379301952004,0.001314316312125785,0.008129289782407633,0.0,0.0,0.0007788541108893541,0.0008762108747505233,0.0,4.867838193058463e-05,0.00024339190965292314,0.0042350192279608624,0.0003407486735140924,0.01450615781531422,0.007496470817310033,0.0007788541108893541,0.005744049067808986
Ring,0.05750560119492158,0.0,0.0016803584764749813,0.0022404779686333084,0.01717699775952203,0.0014936519790888724,0.0,0.00578790141896938,0.0028005974607916355,0.0048543689320388345,0.611277072442121,0.0020537714712471995,0.0014936519790888724,0.0013069454817027633,0.008401792382374906,0.0028005974607916355,0.0,0.009148618371919343,0.0003734129947722181,0.0,0.018297236743838687,0.00578790141896938,0.21956684092606424,0.00018670649738610905,0.016430171769977596,0.0005601194921583271,0.0005601194921583271,0.008215085884988798
Power Disk,0.1518345834177985,0.0014190147982971822,0.0,0.0014190147982971822,0.008716805189539835,0.007095073991485911,0.0016217311980539226,0.004459760794648287,0.003040745996351105,0.008108655990269612,0.00648692479221569,0.7378876951145348,0.020068923575917292,0.000608149199270221,0.0034461787958645854,0.0010135819987837015,0.0,0.0014190147982971822,0.00020271639975674033,0.0008108655990269613,0.0010135819987837015,0.000608149199270221,0.0018244475978106628,0.0,0.022298803973241434,0.009324954388810055,0.004459760794648287,0.0008108655990269613
Power Sphere,0.06210239321417752,0.0010602847621932747,0.0,0.023023326264768253,0.008633747349288094,0.004847016055740685,0.0037867312935474097,0.049681914571342016,0.009542562859739473,0.011814601635867918,0.016358679188124812,0.0252953650408967,0.5795213571644956,0.0,0.022114510754316873,0.0,0.0,0.0004544077552256892,0.0010602847621932747,0.0,0.0,0.0,0.0013632232656770676,0.0,0.09724325961829748,0.071644956073917,0.004847016055740685,0.005604362314450166
Sphere 4-Finger,0.0012295081967213116,0.00020491803278688525,0.0014344262295081967,0.0006147540983606558,0.021311475409836064,0.009221311475409836,0.0,0.005737704918032787,0.0036885245901639345,0.004918032786885246,0.002254098360655738,0.001639344262295082,0.0,0.8547131147540984,0.0004098360655737705,0.0,0.0,0.00389344262295082,0.00020491803278688525,0.0,0.005122950819672131,0.0,0.0018442622950819673,0.0,0.06864754098360656,0.011885245901639344,0.00020491803278688525,0.000819672131147541
