,Tripod_cluster,Pinch_cluster,Lateral_cluster,Power_Wrap_cluster,Precision_cluster,Small_Diameter,Index_Finger_Ext,Extension_Type,Parallel_Ext,Palmar,Medium_Wrap,Adducted_Thumb,Distal,Power_Sphere,Sphere_4_Finger,Adduction_Grip,Quadpod
Tripod_cluster,0.73533274287634,0.08096387014018264,0.057462663775463454,0.014919219375133616,0.03533579696423663,0.006169257551232325,0.014384753993219925,0.011987294994349938,0.0026723269095684575,0.007879546773356137,0.0005802767003634364,0.005558439971902391,0.00648993678038054,0.0033594966863146323,0.0008093332926121614,0.004611672723940995,0.011483370491402743
Pinch_cluster,0.04906822963630899,0.8379671375613666,0.04671375613665965,0.016957218715559563,0.02251778378919948,0.0012774271115118725,0.004909327722673079,0.006111612062919547,0.003982566877066426,0.0007013325318104398,0.0,0.001302474701933674,0.0013275222923554754,0.0007263801222322413,0.0011020939785592627,0.004733994589720469,0.0006011421701232341
Lateral_cluster,0.04140705398072785,0.02134905042567125,0.8634109832538124,0.006567499298344092,0.003966694732902985,0.01272336046402844,0.0014968659369445224,0.007147534848910095,0.0010665169800729722,0.022602675647862287,0.0001309757694826457,0.012910468706146505,0.000318084011600711,0.0020020581906632987,0.0006174571989896154,0.0016278417064271682,0.0006548788474132286
Power_Wrap_cluster,0.014672773852961727,0.0365654840462697,0.0032606164117692724,0.7858861889604845,0.042232745904821054,0.0006210697927179567,0.0,0.0236782858473721,0.02662836736278239,0.00760810496079497,0.00015526744817948918,0.001319773309525658,0.017389954196102786,0.03741945501125689,0.0008539709649871904,0.00031053489635897837,0.0013974070336154026
Precision_cluster,0.014319809069212411,0.02895433921686905,0.0017834194445172965,0.012510162868158094,0.8519761861050644,0.000786802696110572,0.003907786724015841,0.015500013113378269,0.005428938603162947,0.00044585486112932413,0.0,0.002045687009887487,0.0074221720999763955,0.02226651629992919,0.03060662487870125,0.00044585486112932413,0.0015998321487581632
Small_Diameter,0.06558494682301609,0.014044177802017999,0.1602127079356422,0.0186801199890919,0.030815380419961822,0.6029451868011999,0.008453776929370058,0.0017725661303517862,0.0006817562039814562,0.00981728933733297,0.002317971093536951,0.08112898827379329,0.0013635124079629125,0.000545404963185165,0.00013635124079629124,0.0014998636487592036,0.0
Index_Finger_Ext,0.0667090889808039,0.003977091950365892,0.005833068193869976,0.0007954183900731785,0.011772192173083042,0.00042422314137236184,0.7980697847067557,0.000901474175416269,0.005727012408526885,0.0001590836780146357,0.0003711952487008166,0.0012726694241170856,0.10165447025135221,0.0001590836780146357,0.0015378088874748118,0.0006363347120585428,0.0
Extension_Type,0.05574890012476197,0.006829076104800052,0.03637796309672336,0.007354389651323134,0.021537855407446318,0.0015102764462538577,0.0018385974128307834,0.8351172105850679,0.001969925799461554,0.00013132838663077023,0.0046621577253923435,0.009586972224046227,0.002757896119246175,0.009061658677523147,0.00013132838663077023,0.0034802022457154115,0.0019042616061461684
Parallel_Ext,0.008971291866028708,0.0291566985645933,0.00388755980861244,0.13083133971291866,0.047996411483253586,0.0,0.0,0.010616028708133971,0.7200956937799043,0.01854066985645933,0.0,0.0005980861244019139,0.008074162679425838,0.005233253588516747,0.015699760765550238,0.0,0.0002990430622009569
Palmar,0.04730598828069173,0.017864799199656996,0.0623124196084036,0.059454051736458485,0.03630127197370302,0.0037158782335286553,0.0005716735743890238,0.0002858367871945119,0.09361154780620266,0.6675718164927826,0.0,0.0025725310847506074,0.0005716735743890238,0.0008575103615835358,0.003287123052736887,0.0,0.0037158782335286553
