,Large Diameter,Small Diameter,Index Finger Extension,Extension Type,Parallel Extension,Palmar,Medium Wrap,Adducted Thumb,Light Tool,Distal,Ring,Power Disk,Power Sphere,Sphere 4-Finger,Sphere 3-Finger,Lateral,Stick,Adduction Grip,Writing Tripod,Lateral Tripod,Palmar Pinch,Tip Pinch,Inferior Pincer,Prismatic 3 Finger,Precision Disk,Precision Sphere,Quadpod,Tripod
Large Diameter,0.6522395571212883,0.0,0.0,0.03447408152994464,0.04151987921489683,0.004026170105686965,0.0,0.002642174131857071,0.0031454453950679417,0.04516859587317564,0.03459989934574736,0.06492199295420231,0.04932058379466533,0.0021389028686462004,0.005158530447911425,0.00012581781580271766,0.0,0.0005032712632108706,0.005410166079516859,0.0,0.000754906894816306,0.00012581781580271766,0.005158530447911425,0.000377453447408153,0.029315551082033216,0.012330145948666332,0.0041519879214896825,0.0023905385002516355
Small Diameter,0.0002727024815925825,0.6161712571584401,0.002727024815925825,0.003817834742296155,0.0014998636487592036,0.007090264521407145,0.00763566948459231,0.13157894736842105,0.0841287155713117,0.0002727024815925825,0.00109080992637033,0.014725934005999454,0.0008181074447777475,0.000545404963185165,0.00654485955822198,0.04090537223888737,0.0008181074447777475,0.004499590946277611,0.027679301881647123,0.005863103354240524,0.004226888464685029,0.0006817562039814562,0.008317425688573766,0.0006817562039814562,0.021407144805017726,0.0,0.0006817562039814562,0.005317698391055358
Index Finger Extension,0.00010605578534309046,0.0012726694241170856,0.8087283911337363,0.0005833068193869976,0.006469402905928519,0.00026513946335772617,0.0007954183900731785,0.004401315091738254,0.0033937851309788947,0.07959486689998939,0.0006893626047300881,0.0007954183900731785,0.00026513946335772617,0.0013787252094601761,0.006469402905928519,0.0005833068193869976,0.00026513946335772617,0.0006893626047300881,0.01712800933290911,0.00010605578534309046,0.0019620320288471736,5.302789267154523e-05,0.0013256973167886307,5.302789267154523e-05,0.012302471099798495,0.00021211157068618092,0.00010605578534309046,0.05000530278926715
Extension Type,0.005712784818438506,0.0035458664390307965,0.0014446122529384728,0.8269748506139603,0.001969925799461554,6.566419331538512e-05,0.004859150305338499,0.013789480596230875,0.013264167049707794,0.004990478691969269,0.0013132838663077024,0.00013132838663077023,0.016941361875369362,6.566419331538512e-05,0.011819554796769322,0.014380458336069341,0.0,0.0053844638518615795,0.022128833147284786,0.0007223061264692364,0.000984962899730777,0.0013132838663077024,0.003939851598923108,0.004530829338761574,0.023770437980169413,0.0013132838663077024,0.009127322870838532,0.00551579223849235
Parallel Extension,0.11931818181818182,0.0007476076555023923,0.0007476076555023923,0.010167464114832535,0.7072368421052632,0.015251196172248804,0.0,0.002541866028708134,0.0035885167464114833,0.01375598086124402,0.007476076555023923,0.008522727272727272,0.014055023923444977,0.025867224880382775,0.0004485645933014354,0.0,0.0,0.0004485645933014354,0.0026913875598086126,0.0,0.0020933014354066986,0.0010466507177033493,0.008672248803827751,0.0007476076555023923,0.0291566985645933,0.01958732057416268,0.0017942583732057417,0.004037081339712919
Palmar,0.005287980563098471,0.005573817350292983,0.0005716735743890238,0.0007145919679862799,0.09275403744461912,0.6487065885379448,0.00014291839359725596,0.004573388595112191,0.08718022009432613,0.00014291839359725596,0.0012862655423753037,0.054594826354151776,0.0,0.007860511647849079,0.003001286265542375,0.013148492210947549,0.0,0.00014291839359725596,0.01800771759325425,0.0017150207231670716,0.005002143775903959,0.0005716735743890238,0.004430470201514935,0.0024296126911533514,0.018722309561240533,0.0022866942975560954,0.00886094040302987,0.012290981849364013
Medium Wrap,0.008166969147005444,0.16787658802177857,0.004537205081669692,0.02223230490018149,0.009528130671506351,0.003176043557168784,0.15970961887477314,0.1397459165154265,0.060798548094373864,0.01588021778584392,0.008620689655172414,0.004083484573502722,0.01588021778584392,0.007259528130671506,0.029945553539019964,0.008620689655172414,0.00045372050816696913,0.009074410163339383,0.08121597096188747,0.014972776769509982,0.007259528130671506,0.0,0.019056261343012703,0.003176043557168784,0.12295825771324864,0.0,0.01678765880217786,0.05898366606170599
Adducted Thumb,0.0033367097658344755,0.06715128403741882,0.0077459333849728895,0.011499731871536674,0.004051719001370435,0.002740868736221176,0.004230471310254424,0.5367931835786213,0.19269498897694096,0.0032175415599118157,0.0023237800154918666,0.005064648751713043,0.0056604897813263425,0.0017279389858785676,0.019007328844664245,0.02073526783054281,0.0017875230888398975,0.002085443603646547,0.025084907346719896,0.000715009235535959,0.007805517487934219,0.00023833641184531966,0.01364475957814455,0.00023833641184531966,0.040815110528510994,0.00047667282369063933,0.0026217005302985163,0.016504796520288387
Light Tool,0.0035807565928047858,0.01440727946752043,0.003749262785407364,0.0016429353778751369,0.0016429353778751369,0.03075238014997051,0.00016850619260257814,0.03370123852051563,0.664377790883815,0.000547645125958379,0.0002106327407532227,0.010784396326565,0.004970932681776055,0.002106327407532227,0.00408627517061252,0.13038166652624483,0.007835537956019883,0.0006740247704103125,0.042758446372904206,0.002653972533490606,0.010615890133962424,0.000631898222259668,0.004254781363215098,0.0011374168000674026,0.006655994607801837,0.0002527592889038672,0.004633920296570899,0.010784396326565
Distal,0.02988852650537896,0.0001460351457917539,0.09667526651414107,0.010271138587353356,0.010903957552450957,0.0,0.00038942705544467703,0.003650878644793847,0.00038942705544467703,0.7613785717762741,0.003991627318307939,0.007301757289587694,0.005111230102711386,0.0023365623326680623,0.008859465511366403,0.0,0.0,0.0005841405831670156,0.0003407486735140924,0.0,4.867838193058463e-05,4.867838193058463e-05,0.004332375991822032,0.0,0.032955264567005794,0.0075938275811712015,0.002531275860390401,0.010271138587353356
