,Large Diameter,Small Diameter,Index Finger Extension,Extension Type,Parallel Extension,Palmar,Medium Wrap,Adducted Thumb,Light Tool,Distal,Ring,Power Disk,Power Sphere,Sphere 4-Finger,Sphere 3-Finger,Lateral,Stick,Adduction Grip,Writing Tripod,Lateral Tripod,Palmar Pinch,Tip Pinch,Inferior Pincer,Prismatic 3 Finger,Precision Disk,Precision Sphere,Quadpod,Tripod
Large Diameter,0.7349018621036739,0.0002516356316054353,0.0,0.021389028686462003,0.06857070961248113,0.016985405133366886,0.001132360342224459,0.0021389028686462004,0.0027679919476597888,0.03824861600402617,0.019375943633618522,0.02000503271263211,0.03749370910920986,0.0,0.001509813789632612,0.0002516356316054353,0.0,0.007297433316557625,0.0023905385002516355,0.0,0.00012581781580271766,0.0,0.004906894816305989,0.0010065425264217413,0.011071967790639155,0.0031454453950679417,0.0027679919476597888,0.002264720684448918
Small Diameter,0.0,0.5910826288519225,0.0014998636487592036,0.005317698391055358,0.0036814835014998635,0.006953913280610854,0.027133896918461957,0.1604854104172348,0.08044723206981183,0.0024543223343332426,0.0,0.005863103354240524,0.003954185983092446,0.0,0.0051813471502590676,0.035724025088628306,0.0029997272975184073,0.0017725661303517862,0.023997818380147258,0.0055904008726479415,0.008181074447777475,0.0020452686119443687,0.007362967002999727,0.002317971093536951,0.010771748022907009,0.0,0.00013635124079629124,0.005044995909462776
Index Finger Extension,5.302789267154523e-05,0.0006893626047300881,0.8781419026407891,0.00026513946335772617,0.004507370877081345,0.000901474175416269,0.0030756177749496237,0.003658924594336621,0.0030225898822780783,0.05742920776328349,0.00026513946335772617,0.0003181673560292714,0.0003711952487008166,0.0005302789267154523,0.002916534096934988,0.0003711952487008166,0.00021211157068618092,0.0019620320288471736,0.025559444267684802,0.0004772510340439071,0.0,0.0,5.302789267154523e-05,5.302789267154523e-05,0.0019090041361756285,0.00010605578534309046,0.0003181673560292714,0.012832750026513946
Extension Type,0.0052531354652308095,0.0003283209665769256,0.0018385974128307834,0.8551447895462604,0.014314794142753957,0.00045964935320769586,0.002757896119246175,0.014971436075907807,0.004859150305338499,0.007157397071376978,0.0003939851598923107,0.00026265677326154047,0.013264167049707794,0.0006566419331538512,0.008733337710946221,0.01937093702803861,0.00013132838663077023,0.004530829338761574,0.009389979644100072,0.0011819554796769322,0.001116291286361547,0.0026922319259307897,0.00256090353930002,0.005778449011753891,0.010965920283669314,0.0024952393459846344,0.005909777398384661,0.0034802022457154115
Parallel Extension,0.08462918660287082,0.0,0.0014952153110047847,0.009569377990430622,0.8032296650717703,0.025717703349282296,0.0004485645933014354,0.00194377990430622,0.0026913875598086126,0.013008373205741627,0.007476076555023923,0.010167464114832535,0.011214114832535885,0.0020933014354066986,0.0005980861244019139,0.0,0.0,0.0008971291866028708,0.0011961722488038277,0.00014952153110047846,0.0002990430622009569,0.00014952153110047846,0.0008971291866028708,0.0008971291866028708,0.012111244019138757,0.006429425837320574,0.0013456937799043063,0.0013456937799043063
Palmar,0.004716306988709447,0.0020008575103615837,0.0014291839359725598,0.0022866942975560954,0.08060597398885236,0.7267400314420466,0.0012862655423753037,0.0068600828926682865,0.07588966700014292,0.0041446334143204235,0.0018579391167643277,0.014863512934114621,0.0002858367871945119,0.0034300414463341432,0.0021437759039588393,0.015149349721309132,0.00014291839359725596,0.0008575103615835358,0.012148063455766757,0.005145062169501215,0.010433042732599686,0.00014291839359725596,0.004430470201514935,0.007288838073460055,0.0068600828926682865,0.0020008575103615837,0.0014291839359725598,0.005430898956695727
Medium Wrap,0.006352087114337568,0.073502722323049,0.004990925589836661,0.02041742286751361,0.011796733212341199,0.004990925589836661,0.3951905626134301,0.18421052631578946,0.0367513611615245,0.04128856624319419,0.0,0.005898366606170599,0.01588021778584392,0.0,0.011343012704174229,0.017695099818511795,0.0,0.008620689655172414,0.08121597096188747,0.005898366606170599,0.003176043557168784,0.0013611615245009074,0.013611615245009074,0.0013611615245009074,0.03357531760435572,0.0027223230490018148,0.006352087114337568,0.011796733212341199
Adducted Thumb,0.0026217005302985163,0.048024786986831915,0.0048263123398677235,0.013883095989989871,0.006613835428707621,0.005064648751713043,0.023893225287493297,0.6610856223559555,0.09402371447297861,0.0060775785020556515,0.0003575046177679795,0.0013108502651492581,0.003396293868795805,0.00023833641184531966,0.013942680092951201,0.047965202883870586,0.005541321575403682,0.006196746707978312,0.013763927784067211,0.00023833641184531966,0.0006554251325746291,0.00047667282369063933,0.009056783650122148,0.00047667282369063933,0.017100637549901685,0.0011320979562652685,0.0010725138533039386,0.010963474944884704
Light Tool,0.0038335158817086527,0.011121408711770158,0.001727188474176426,0.002274833600134805,0.0016429353778751369,0.035765439379897214,0.0016429353778751369,0.04334821804701323,0.7296318139691633,0.0017693150223270706,0.00016850619260257814,0.005223691970679923,0.0012216698963686916,0.0012216698963686916,0.0033279973039009184,0.08004044148622462,0.017608897126969416,0.0029488583705451175,0.028182660712781193,0.0031173645631476956,0.006024096385542169,0.0005897716741090235,0.0009689106074648243,0.0074142724745134385,0.001348049540820625,0.00016850619260257814,0.004844553037324122,0.002822478726093184
Distal,0.020736990702429053,0.0001460351457917539,0.06990215645231952,0.005549335540086647,0.008324003310129972,0.00024339190965292314,0.0002920702915835078,0.0036022002628632623,0.0008275324928199387,0.8429148615100034,0.0027746677700433236,0.003650878644793847,0.0027259893881127393,0.0019958136591539696,0.005646692303947817,0.00019471352772233852,0.0,0.001947135277223385,0.0007788541108893541,0.0,4.867838193058463e-05,0.0,0.0036995570267244317,0.0001460351457917539,0.01104999269824271,0.007934576254685294,0.0006328189650976002,0.0042350192279608624
