,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.6186,0.0,0.0,0.0444,0.0442,0.0086,0.0,0.002,0.0023,0.0767,0.0667,0.0086,0.0488,0.0018,0.0045,0.0,0.0,0.0004,0.0024,0.0,0.0011,0.0001,0.0107,0.0023,0.0211,0.0279,0.0038,0.003
1,0.0,0.5363,0.0041,0.0094,0.0008,0.0136,0.009,0.125,0.0372,0.0025,0.0023,0.0431,0.0034,0.001,0.0127,0.0652,0.0,0.0012,0.0378,0.0259,0.0042,0.0038,0.0064,0.006,0.0318,0.0011,0.0022,0.014
2,0.0002,0.0006,0.7722,0.0005,0.0056,0.0008,0.0013,0.0012,0.0013,0.1126,0.0011,0.0005,0.001,0.0015,0.0122,0.0011,0.0002,0.0012,0.0155,0.0003,0.0001,0.0001,0.0011,0.0001,0.0075,0.0008,0.0006,0.0589
3,0.0043,0.0007,0.0009,0.8624,0.0012,0.0001,0.002,0.0071,0.0085,0.0032,0.002,0.0007,0.0158,0.0001,0.0238,0.0131,0.0,0.0024,0.0125,0.0027,0.0011,0.0016,0.0026,0.0031,0.013,0.003,0.0077,0.0043
4,0.1014,0.0003,0.0006,0.0144,0.6708,0.0245,0.0003,0.0006,0.0007,0.0205,0.0138,0.0021,0.0087,0.0308,0.0012,0.0,0.0,0.0003,0.0012,0.0001,0.0036,0.0001,0.0242,0.0006,0.0414,0.0275,0.0033,0.007
5,0.005,0.001,0.0004,0.0009,0.0783,0.7386,0.0,0.0027,0.0294,0.0011,0.0017,0.0339,0.0014,0.0081,0.0011,0.0154,0.0,0.0007,0.0073,0.0079,0.0077,0.0003,0.0054,0.0039,0.0164,0.0051,0.01,0.016
6,0.005,0.1139,0.0027,0.059,0.0059,0.0132,0.1597,0.0971,0.0309,0.0209,0.0141,0.0123,0.0268,0.0132,0.0422,0.0154,0.0,0.0041,0.0662,0.0431,0.0036,0.0,0.0204,0.0064,0.1348,0.0032,0.0318,0.0544
7,0.0046,0.0473,0.0069,0.0253,0.0024,0.0057,0.0089,0.5405,0.081,0.0042,0.006,0.0126,0.0078,0.0026,0.0497,0.0614,0.0018,0.0036,0.0395,0.0048,0.0072,0.0002,0.014,0.0007,0.0343,0.0042,0.0035,0.0194
8,0.0055,0.0145,0.0015,0.0054,0.0008,0.0569,0.001,0.0384,0.4235,0.0025,0.0008,0.0188,0.007,0.0021,0.0095,0.2813,0.0056,0.0005,0.0551,0.0094,0.0113,0.0008,0.0053,0.0057,0.0064,0.0018,0.0106,0.0183
9,0.0238,0.0,0.0767,0.0143,0.0078,0.0004,0.0001,0.0018,0.0002,0.7889,0.0093,0.0014,0.0074,0.0026,0.0133,0.0,0.0,0.0008,0.0007,0.0001,0.0001,0.0,0.0043,0.0,0.0203,0.0117,0.0025,0.0113
10,0.0575,0.0,0.0021,0.0028,0.0086,0.0009,0.0,0.0011,0.0011,0.0138,0.5952,0.0,0.0026,0.0013,0.0246,0.0047,0.0,0.0015,0.0015,0.0,0.0241,0.009,0.2205,0.0019,0.0174,0.0034,0.0011,0.0034
11,0.1893,0.0004,0.0,0.0028,0.0024,0.0251,0.0004,0.0,0.0004,0.0294,0.0101,0.6321,0.0409,0.0002,0.0032,0.0002,0.0,0.0,0.0006,0.0,0.0004,0.0,0.0022,0.0004,0.032,0.0186,0.0071,0.0014
12,0.056,0.0014,0.0002,0.0339,0.0021,0.0026,0.0017,0.0153,0.0011,0.0329,0.0156,0.0317,0.5467,0.0027,0.0167,0.0,0.0,0.0005,0.0009,0.0,0.0009,0.0,0.005,0.0003,0.123,0.0651,0.0338,0.0101
13,0.0068,0.0,0.0049,0.0029,0.0342,0.0029,0.0,0.0002,0.0016,0.0064,0.001,0.0,0.001,0.7555,0.0012,0.0002,0.0,0.0043,0.0006,0.0,0.0078,0.0,0.0098,0.0,0.0857,0.0617,0.01,0.0012
14,0.0091,0.0002,0.0111,0.0323,0.0036,0.0009,0.0002,0.0065,0.0025,0.026,0.0304,0.0168,0.0081,0.0017,0.585,0.0029,0.0001,0.0045,0.0075,0.0013,0.0015,0.0002,0.0281,0.0002,0.012,0.0094,0.0157,0.1823
15,0.0,0.006,0.0012,0.0202,0.0005,0.0085,0.0002,0.0178,0.043,0.0001,0.0012,0.004,0.0003,0.0,0.0066,0.8493,0.0023,0.0015,0.0079,0.003,0.0014,0.0178,0.0025,0.0004,0.0011,0.0,0.0,0.0034
16,0.0,0.0339,0.004,0.002,0.0,0.0037,0.0003,0.0243,0.2389,0.0003,0.0,0.001,0.0,0.0,0.0067,0.3699,0.0536,0.0023,0.0742,0.0452,0.0216,0.0699,0.0093,0.0163,0.0027,0.0,0.0003,0.0196
17,0.0434,0.0002,0.0126,0.0214,0.0066,0.0,0.0,0.0028,0.0133,0.0328,0.0206,0.0,0.0005,0.0016,0.1122,0.0277,0.0,0.5292,0.0126,0.0097,0.0062,0.0206,0.0059,0.027,0.0043,0.0016,0.0009,0.0866
18,0.009,0.0057,0.0113,0.0192,0.002,0.0215,0.0019,0.0084,0.0279,0.0013,0.0001,0.0016,0.002,0.0022,0.0062,0.0658,0.0012,0.0016,0.4791,0.0317,0.0457,0.0095,0.0107,0.0268,0.0036,0.0013,0.0252,0.1773
19,0.0059,0.0125,0.0088,0.0055,0.0053,0.0416,0.0035,0.0092,0.0258,0.0182,0.0051,0.0004,0.0,0.001,0.0088,0.0135,0.002,0.0025,0.2136,0.2272,0.0356,0.0104,0.0023,0.1147,0.0041,0.0,0.0115,0.2112
20,0.0018,0.0007,0.0013,0.0121,0.0008,0.0025,0.0001,0.0007,0.0056,0.0005,0.0175,0.0,0.0007,0.0063,0.001,0.0008,0.0004,0.0004,0.0298,0.0013,0.6425,0.0334,0.1787,0.0114,0.0103,0.0077,0.0076,0.0238
21,0.0015,0.001,0.0025,0.0226,0.0017,0.0025,0.0003,0.001,0.0053,0.002,0.0154,0.0004,0.0013,0.0001,0.0068,0.124,0.001,0.0207,0.0299,0.0092,0.1956,0.4174,0.0598,0.0465,0.0024,0.0025,0.0031,0.0235
22,0.0114,0.0001,0.0056,0.0012,0.0058,0.0005,0.0002,0.0028,0.0009,0.0044,0.1784,0.0026,0.0009,0.0058,0.0085,0.0033,0.0,0.0007,0.0072,0.0,0.0962,0.0046,0.599,0.0001,0.0292,0.0116,0.0019,0.0171
23,0.0012,0.0025,0.0013,0.0143,0.0028,0.0236,0.001,0.0023,0.0156,0.0054,0.0049,0.002,0.0025,0.0017,0.0071,0.001,0.0006,0.03,0.1047,0.0258,0.1148,0.0135,0.0054,0.2879,0.0071,0.007,0.0251,0.2891
24,0.0092,0.0003,0.0048,0.0171,0.0031,0.0011,0.0005,0.0027,0.0008,0.0156,0.0064,0.0029,0.0364,0.0455,0.0054,0.0,0.0,0.0013,0.0005,0.0,0.0078,0.0,0.0105,0.0001,0.7622,0.0557,0.004,0.0061
25,0.0079,0.0009,0.0013,0.0463,0.0039,0.0067,0.0004,0.0011,0.0022,0.0369,0.0124,0.009,0.1108,0.0311,0.0079,0.0,0.0,0.0026,0.0007,0.0,0.0261,0.0015,0.0056,0.0007,0.3125,0.34,0.0157,0.0156
26,0.0084,0.002,0.0002,0.0486,0.0031,0.0104,0.0011,0.0005,0.0107,0.0089,0.0024,0.0015,0.0807,0.0109,0.0036,0.0,0.0,0.0016,0.0095,0.0,0.0107,0.0005,0.0117,0.0168,0.0555,0.0333,0.5992,0.0681
27,0.0128,0.0012,0.0166,0.0118,0.0015,0.0102,0.0016,0.0061,0.0102,0.0116,0.0039,0.0057,0.0074,0.0015,0.107,0.0021,0.0005,0.006,0.0339,0.0009,0.0182,0.0013,0.0225,0.0297,0.0344,0.0165,0.0943,0.5305
